card_number,name,team,designations
TDH-1,Tony Gwynn,San Diego Padres,
TDH-2,Don Mattingly,New York Yankees,
TDH-3,Hank Aaron,Milwaukee Brewers,
TDH-4,Willie Mays,New York Giants,
TDH-5,Roberto Clemente,Pittsburgh Pirates,
TDH-6,Jeff Bagwell,Houston Astros,
TDH-7,Wade Boggs,Boston Red Sox,
TDH-8,Bob Gibson,St. Louis Cardinals,
TDH-9,Reggie Jackson,Oakland Athletics,
TDH-10,Nolan Ryan,New York Mets,
TDH-11,Barry Larkin,Cincinnati Reds,
TDH-12,Eddie Murray,Baltimore Orioles,
TDH-13,Jim Palmer,Baltimore Orioles,
TDH-14,Cal Ripken Jr,Baltimore Orioles,
TDH-15,Mike Piazza,Los Angeles Dodgers,
TDH-16,Pedro Martinez,Los Angeles Dodgers,
TDH-17,Mariano Rivera,New York Yankees,
TDH-18,Jackie Robinson,Brooklyn Dodgers,
TDH-19,Ernie Banks,Chicago Cubs,
TDH-20,Thurman Munson,New York Yankees,
TDH-21,Ted Williams,Boston Red Sox,
TDH-22,Johnny Bench,Cincinnati Reds,
TDH-23,Ichiro,Seattle Mariners,
TDH-24,Derek Jeter,New York Yankees,
TDH-25,Ken Griffey Jr.,Seattle Mariners,
