card_number,name,team,designations
ZTS-1,Luke Voit,New York Yankees,
ZTS-2,Freddie Freeman,Atlanta Braves,
ZTS-3,Jose Abreu,Chicago White Sox,
ZTS-4,Mookie Betts,Los Angeles Dodgers,
ZTS-5,Mike Trout,Angels,
ZTS-6,Freddie Freeman,Atlanta Braves,
ZTS-7,Marcell Ozuna,Atlanta Braves,
ZTS-8,Yu Darvish,Chicago Cubs,
ZTS-9,Trea Turner,Washington Nationals,
ZTS-10,Jose Abreu,Chicago White Sox,
ZTS-11,Trevor Bauer,Cincinnati Reds,
ZTS-12,Juan Soto,Washington Nationals,
ZTS-13,Shane Bieber,Cleveland Indians,
ZTS-14,Juan Soto,Washington Nationals,
ZTS-15,Shane Bieber,Cleveland Indians,
ZTS-16,Adalberto Mondesi,Kansas City Royals,
ZTS-17,Jacob deGrom,New York Mets,
ZTS-18,DJ LeMahieu,New York Yankees,
ZTS-19,Bryce Harper,Philadelphia Phillies,
ZTS-20,Fernando Tatis Jr.,San Diego Padres,
