card_number,name,team,designations
ICP-AJ,Aaron Judge,New York Yankees,
ICP-AP,Albert Pujols,St. Louis Cardinals,
ICP-BG,Bob Gibson,St. Louis Cardinals,
ICP-BH,Bryce Harper,Washington Nationals,
ICP-BJ,Bo Jackson,Kansas City Royals,
ICP-BL,Barry Larkin,Cincinnati Reds,
ICP-BP,Buster Posey,San Francisco Giants,
ICP-BR,Brooks Robinson,Baltimore Orioles,
ICP-CB,Cody Bellinger,Los Angeles Dodgers,
ICP-CJ,Chipper Jones,Atlanta Braves,
ICP-CK,Clayton Kershaw,Los Angeles Dodgers,
ICP-CR,Cal Ripken Jr.,Baltimore Orioles,
ICP-CY,Christian Yelich,Miami Marlins,
ICP-DG,Dwight Gooden,New York Mets,
ICP-DJ,Derek Jeter,New York Yankees,
ICP-DM,Don Mattingly,New York Yankees,
ICP-DS,Darryl Strawberry,New York Mets,
ICP-EB,Ernie Banks,Chicago Cubs,
ICP-EM,Eddie Murray,Baltimore Orioles,
ICP-FT,Frank Thomas,Chicago White Sox,
ICP-FTJ,Fernando Tatis Jr.,San Diego Padres,
ICP-GB,George Brett,Kansas City Royals,
ICP-HA,Hank Aaron,Milwaukee Brewers,
ICP-I,Ichiro,Seattle Mariners,
ICP-JB,Johnny Bench,Cincinnati Reds,
ICP-JC,Jose Canseco,Oakland Athletics,
ICP-JP,Jim Palmer,Baltimore Orioles,
ICP-JR,Jackie Robinson,Brooklyn Dodgers,
ICP-JV,Justin Verlander,Detroit Tigers,
ICP-KB,Kris Bryant,Chicago Cubs,
ICP-KG,Ken Griffey Jr.,Seattle Mariners,
ICP-MM,Mark McGwire,Oakland Athletics,
ICP-MT,Mike Trout,Angels,
ICP-NR,Nolan Ryan,New York Mets,
ICP-OS,Ozzie Smith,San Diego Padres,
ICP-PA,Pete Alonso,New York Mets,
ICP-RA,Ronald Acuña Jr,Atlanta Braves,
ICP-RC,Roberto Clemente,Pittsburgh Pirates,
ICP-RH,Rickey Henderson,Oakland Athletics,
ICP-RJ,Reggie Jackson,Oakland Athletics,
ICP-SO,Shohei Ohtani,Angels,
ICP-SS,Stephen Strasberg,Washington Nationals,
ICP-TG,Tony Gwynn,San Diego Padres,
ICP-TM,Thurman Munson,New York Yankees,
ICP-TS,Tom Seaver,New York Mets,
ICP-TW,Ted Williams,Boston Red Sox,
ICP-WB,Wade Boggs,Boston Red Sox,
ICP-WM,Willie Mays,New York Giants,
ICP-YA,Yordan Alvarez,Houston Astros,
ICP-YMO,Yadier Molina,St. Louis Cardinals,
