card_number,name,team,designations
MLMA-AJ,Aaron Judge,New York Yankees,
MLMA-BL,Brandon Lowe,Tampa Bay Rays,
MLMA-CS,Corey Seager,Los Angeles Dodgers,
MLMA-EW,Evan White,Seattle Mariners,RC
MLMA-FT,Fernando Tatis Jr.,San Diego Padres,
MLMA-GT,Gleyber Torres,New York Yankees,
MLMA-JB,Josh Bell,Pittsburgh Pirates,
MLMA-JF,Jack Flaherty,St. Louis Cardinals,
MLMA-JS,Juan Soto,Washington Nationals,
MLMA-JSO,Jorge Soler,Kansas City Royals,
MLMA-KH,Keston Hiura,Milwaukee Brewers,
MLMA-KL,Kyle Lewis,Seattle Mariners,
MLMA-KS,Kyle Schwarber,Chicago Cubs,
MLMA-MC,Miguel Cabrera,Detroit Tigers,
MLMA-MK,Max Kepler,Minnesota Twins,
MLMA-MT,Mike Trout,Angels,
MLMA-NH,Nico Hoerner,Chicago Cubs,
MLMA-PA,Pete Alonso,New York Mets,
MLMA-PD,Paul DeJong,St. Louis Cardinals,
MLMA-RA,Ronald Acuña Jr.,Atlanta Braves,
MLMA-RH,Rhys Hoskins,Philadelphia Phillies,
MLMA-SG,Sonny Gray,Cincinnati Reds,
MLMA-SM,Starling Marte,Miami Marlins,
MLMA-SO,Shohei Ohtani,Angels,
MLMA-VG,Vladimir Guerrero Jr.,Toronto Blue Jays,
MLMA-WB,Walker Buehler,Los Angeles Dodgers,
MLMA-WC,Willson Contreras,Chicago Cubs,
MLMA-XB,Xander Bogaerts,Boston Red Sox,
MLMA-YM,Yadier Molina,St. Louis Cardinals,
MLMA-YMO,Yoan Moncada,Chicago White Sox,
