card_number,name,team,designations
STCL-AB,Alex Bregman,Houston Astros,
STCL-ABO,Alec Bohm,Philadelphia Phillies,RC
STCL-AJ,Aaron Judge,New York Yankees,
STCL-BB,Bo Bichette,Toronto Blue Jays,
STCL-BDA,Bobby Dalbec,Boston Red Sox,RC
STCL-BH,Bryce Harper,Philadelphia Phillies,
STCL-BP,Buster Posey,San Francisco Giants,
STCL-BS,Blake Snell,Tampa Bay Rays,
STCL-BSI,Brady Singer,Kansas City Royals,RC
STCL-CB,Cody Bellinger,Los Angeles Dodgers,
STCL-CK,Clayton Kershaw,Los Angeles Dodgers,
STCL-CMI,Casey Mize,Detroit Tigers,RC
STCL-CY,Christian Yelich,Milwaukee Brewers,
STCL-EJ,Eloy Jimenez,Chicago White Sox,
STCL-FF,Freddie Freeman,Atlanta Braves,
STCL-FL,Francisco Lindor,Cleveland Indians,
STCL-FT,Fernando Tatis Jr.,San Diego Padres,
STCL-GC,Gerrit Cole,New York Yankees,
STCL-GT,Gleyber Torres,New York Yankees,
STCL-JAD,Jo Adell,Angels,RC
STCL-JB,Javier Baez,Chicago Cubs,
STCL-JBA,Joey Bart,San Francisco Giants,RC
STCL-JD,Josh Donaldson,Minnesota Twins,
STCL-JDE,Jacob deGrom,New York Mets,
STCL-JG,Joey Gallo,Texas Rangers,
STCL-JSO,Juan Soto,Washington Nationals,
STCL-JV,Joey Votto,Cincinnati Reds,
STCL-JVE,Justin Verlander,Houston Astros,
STCL-KB,Kris Bryant,Chicago Cubs,
STCL-KBH,Ke'Bryan Hayes,Pittsburgh Pirates,RC
STCL-KL,Kyle Lewis,Seattle Mariners,
STCL-KM,Ketel Marte,Arizona Diamondbacks,
STCL-LR,Luis Robert,Chicago White Sox,
STCL-MB,Mookie Betts,Los Angeles Dodgers,
STCL-MC,Miguel Cabrera,Detroit Tigers,
STCL-MCH,Matt Chapman,Oakland Athletics,
STCL-MM,Manny Machado,San Diego Padres,
STCL-MS,Max Scherzer,Washington Nationals,
STCL-MT,Mike Trout,Angels,
STCL-NA,Nolan Arenado,Colorado Rockies,
STCL-PA,Pete Alonso,New York Mets,
STCL-PG,Paul Goldschmidt,St. Louis Cardinals,
STCL-RA,Ronald Acuña Jr.,Atlanta Braves,
STCL-RD,Rafael Devers,Boston Red Sox,
STCL-RMO,Ryan Mountcastle,Baltimore Orioles,RC
STCL-SBI,Shane Bieber,Cleveland Indians,
STCL-SO,Shohei Ohtani,Angels,
STCL-SSA,Sixto Sanchez,Miami Marlins,RC
STCL-VG,Vladimir Guerrero Jr.,Toronto Blue Jays,
STCL-YM,Yadier Molina,St. Louis Cardinals,
