card_number,name,team,designations
70LP-BG,Bob Gibson,St. Louis Cardinals,
70LP-CJ,Chipper Jones,Atlanta Braves,
70LP-CK,Clayton Kershaw,Los Angeles Dodgers,
70LP-CR,Cal Ripken Jr.,Baltimore Orioles,
70LP-DJ,Derek Jeter,New York Yankees,
70LP-EB,Ernie Banks,Chicago Cubs,
70LP-EM,Eddie Mathews,Milwaukee Braves,
70LP-FT,Frank Thomas,Chicago White Sox,
70LP-GB,George Brett,Kansas City Royals,
70LP-HA,Hank Aaron,Atlanta Braves,
70LP-I,Ichiro,Seattle Mariners,
70LP-JB,Johnny Bench,Cincinnati Reds,
70LP-JM,Joe Morgan,Cincinnati Reds,
70LP-JR,Jackie Robinson,Brooklyn Dodgers,
70LP-KG,Ken Griffey Jr.,Seattle Mariners,
70LP-MC,Miguel Cabrera,Detroit Tigers,
70LP-MR,Mariano Rivera,New York Yankees,
70LP-MT,Mike Trout,Angels,
70LP-NR,Nolan Ryan,Houston Astros,
70LP-PM,Pedro Martinez,Boston Red Sox,
70LP-RJ,Reggie Jackson,Oakland Athletics,
70LP-SC,Steve Carlton,Philadelphia Phillies,
70LP-TS,Tom Seaver,New York Mets,
70LP-VG,Vladimir Guerrero,Montréal Expos,
70LP-WM,Willie Mays,San Francisco Giants,
