card_number,name,team,designations
BH-AB,Alex Bregman,Houston Astros,
BH-AG,Adolis Garcia,Texas Rangers,
BH-AJ,Aaron Judge,New York Yankees,
BH-AM,Austin Meadows,Tampa Bay Rays,
BH-ARE,Anthony Rendon,Angels,
BH-BB,Bo Bichette,Toronto Blue Jays,
BH-BBU,Byron Buxton,Minnesota Twins,
BH-BC,Brandon Crawford,San Francisco Giants,
BH-BH,Bryce Harper,Philadelphia Phillies,
BH-CB,Cody Bellinger,Los Angeles Dodgers,
BH-CY,Christian Yelich,Milwaukee Brewers,
BH-FFR,Freddie Freeman,Atlanta Braves,
BH-FT,Fernando Tatis Jr.,San Diego Padres,
BH-JA,Jose Altuve,Houston Astros,
BH-JAB,Jose Abreu,Chicago White Sox,
BH-JBE,Josh Bell,Washington Nationals,
BH-JH,Jason Heyward,Chicago Cubs,
BH-JK,Jarred Kelenic,Seattle Mariners,
BH-JS,Juan Soto,Washington Nationals,
BH-JW,Jesse Winker,Cincinnati Reds,
BH-KH,Ke'Bryan Hayes,Pittsburgh Pirates,
BH-LR,Luis Robert,Chicago White Sox,
BH-MC,Miguel Cabrera,Detroit Tigers,
BH-MM,Manny Machado,San Diego Padres,
BH-MO,Matt Olson,Oakland Athletics,
BH-MT,Mike Trout,Angels,
BH-NA,Nolan Arenado,St. Louis Cardinals,
BH-NH,Nico Hoerner,Chicago Cubs,
BH-PA,Pete Alonso,New York Mets,
BH-PG,Paul Goldschmidt,St. Louis Cardinals,
BH-RD,Rafael Devers,Boston Red Sox,
BH-RH,Rhys Hoskins,Philadelphia Phillies,
BH-RM,Ryan Mountcastle,Baltimore Orioles,
BH-SO,Shohei Ohtani,Angels,
BH-SP,Salvador Perez,Kansas City Royals,
BH-TM,Trey Mancini,Baltimore Orioles,
BH-VG,Vladimir Guerrero Jr.,Toronto Blue Jays,
BH-WC,Willson Contreras,Chicago Cubs,
BH-WF,Wander Franco,Tampa Bay Rays,
BH-XB,Xander Bogaerts,Boston Red Sox,
BH-YA,Yordan Alvarez,Houston Astros,
BH-YM,Yadier Molina,St. Louis Cardinals,
