card_number,name,team,designations
MLBL-AB,Alex Bregman,Houston Astros,
MLBL-AG,Adolis Garcia,Texas Rangers,
MLBL-BB,Byron Buxton,Minnesota Twins,
MLBL-BH,Bryce Harper,Philadelphia Phillies,
MLBL-BP,Buster Posey,San Francisco Giants,
MLBL-CY,Christian Yelich,Milwaukee Brewers,
MLBL-FT,Fernando Tatis Jr.,San Diego Padres,
MLBL-JC,Jazz Chisholm Jr.,Miami Marlins,
MLBL-JD,Jacob deGrom,New York Mets,
MLBL-JK,Jarred Kelenic,Seattle Mariners,
MLBL-JR,Jose Ramirez,Cleveland Guardians,
MLBL-JS,Juan Soto,Washington Nationals,
MLBL-JW,Jesse Winker,Cincinnati Reds,
MLBL-KH,Ke'Bryan Hayes,Pittsburgh Pirates,
MLBL-MC,Miguel Cabrera,Detroit Tigers,
MLBL-MO,Matt Olson,Oakland Athletics,
MLBL-RA,Ronald Acuña Jr.,Atlanta Braves,
MLBL-RM,Ryan Mountcastle,Baltimore Orioles,
MLBL-SO,Shohei Ohtani,Angels,
MLBL-WF,Wander Franco,Tampa Bay Rays,RC
