card_number,name,team,designations
87FSA-ABA,Akil Baddoo,Detroit Tigers,
87FSA-AK,Alex Kirilloff,Minnesota Twins,
87FSA-AV,Andrew Vaughn,Chicago White Sox,
87FSA-BD,Bobby Dalbec,Boston Red Sox,
87FSA-CM,Casey Mize,Detroit Tigers,
87FSA-DC,Dylan Carlson,St. Louis Cardinals,
87FSA-JA,Jo Adell,Angels,
87FSA-JB,Joey Bart,San Francisco Giants,
87FSA-JC,Jazz Chisholm Jr.,Miami Marlins,
87FSA-JI,Jonathan India,Cincinnati Reds,
87FSA-JK,Jarred Kelenic,Seattle Mariners,
87FSA-KH,Ke'Bryan Hayes,Pittsburgh Pirates,
87FSA-RM,Ryan Mountcastle,Baltimore Orioles,
87FSA-TR,Trevor Rogers,Miami Marlins,
87FSA-WF,Wander Franco,Tampa Bay Rays,RC
