card_number,name,team,designations
87OASA-PAPete,Alonso,New York Mets,
87OASA-BHBryce,Harper,Philadelphia Phillies,
87OASA-YMYadier,Molina,St. Louis Cardinals,
87OASA-JS,Juan Soto,Washington Nationals,
87OASA-JV,Joey Votto,Cincinnati Reds,
87OASA-XBXander,Bogaerts,Boston Red Sox,
87OASA-MMManny,Machado,San Diego Padres,
87OASA-VGVladimir,Guerrero Jr.,Toronto Blue Jays,
87OASA-AJ,Aaron Judge,New York Yankees,
87OASA-CYChristian,Yelich,Milwaukee Brewers,
87OASA-ABAlex,Bregman,Houston Astros,
87OASA-FF,Freddie Freeman,Atlanta Braves,
87OASA-SOShohei,Ohtani,Angels,
87OASA-FTFernando,Tatis Jr.,San Diego Padres,
87OASA-MTMike,Trout,Angels,
