card_number,name,team,designations
SMLBC-31,Francisco Lindor,New York Mets,
SMLBC-32,Walker Buehler,Los Angeles Dodgers,
SMLBC-33,Shohei Ohtani,Angels,
SMLBC-34,Ketel Marte,Arizona Diamondbacks,
SMLBC-35,Ozzie Albies,Atlanta Braves,
SMLBC-36,Cedric Mullins,Baltimore Orioles,
SMLBC-37,Xander Bogaerts,Boston Red Sox,
SMLBC-38,J.D. Martinez,Boston Red Sox,
SMLBC-39,Jose Abreu,Chicago White Sox,
SMLBC-40,Eloy Jimenez,Chicago White Sox,
SMLBC-41,Joey Votto,Cincinnati Reds,
SMLBC-42,Shane Bieber,Cleveland Guardians,
SMLBC-43,Miguel Cabrera,Detroit Tigers,
SMLBC-44,Jose Altuve,Houston Astros,
SMLBC-45,Yordan Alvarez,Houston Astros,
SMLBC-46,Salvador Perez,Kansas City Royals,
SMLBC-47,Trea Turner,Los Angeles Dodgers,
SMLBC-48,Cody Bellinger,Los Angeles Dodgers,
SMLBC-49,Giancarlo Stanton,New York Yankees,
SMLBC-50,Matt Olson,Oakland Athletics,
SMLBC-51,J.T. Realmuto,Philadelphia Phillies,
SMLBC-52,Manny Machado,San Diego Padres,
SMLBC-53,Mitch Haniger,Seattle Mariners,
SMLBC-54,Paul Goldschmidt,St. Louis Cardinals,
SMLBC-55,Jack Flaherty,St. Louis Cardinals,
SMLBC-56,Randy Arozarena,Tampa Bay Rays,
SMLBC-57,Adolis Garcia,Texas Rangers,
SMLBC-58,George Springer,Toronto Blue Jays,
SMLBC-59,Corbin Burnes,Milwaukee Brewers,
SMLBC-60,Max Muncy,Los Angeles Dodgers,
