card_number,name,team,designations
HRC-1,Fernando Tatis Jr.,San Diego Padres,
HRC-2,Juan Soto,Washington Nationals,
HRC-3,Mike Trout,Angels,
HRC-4,Shohei Ohtani,Angels,
HRC-5,Bryce Harper,Philadelphia Phillies,
HRC-6,Aaron Judge,New York Yankees,
HRC-7,Cody Bellinger,Los Angeles Dodgers,
HRC-8,Christian Yelich,Milwaukee Brewers,
HRC-9,Ronald Acuña Jr.,Atlanta Braves,
HRC-10,Pete Alonso,New York Mets,
HRC-11,Alex Bregman,Houston Astros,
HRC-12,Bo Bichette,Toronto Blue Jays,
HRC-13,Luis Robert,Chicago White Sox,
HRC-14,Mookie Betts,Los Angeles Dodgers,
HRC-15,Salvador Perez,Kansas City Royals,
HRC-16,Joey Votto,Cincinnati Reds,
HRC-17,Matt Olson,Atlanta Braves,
HRC-18,Vladimir Guerrero Jr.,Toronto Blue Jays,
HRC-19,Nolan Arenado,St. Louis Cardinals,
HRC-20,Manny Machado,San Diego Padres,
HRC-21,Joey Gallo,New York Yankees,
HRC-22,Rafael Devers,Boston Red Sox,
HRC-23,Giancarlo Stanton,New York Yankees,
HRC-24,Freddie Freeman,Los Angeles Dodgers,
HRC-25,Max Muncy,Los Angeles Dodgers,
HRC-26,Adolis Garcia,Texas Rangers,
HRC-27,Wander Franco,Tampa Bay Rays,
HRC-28,Jose Ramirez,Cleveland Guardians,
HRC-29,Javier Baez,Detroit Tigers,
HRC-30,Mitch Haniger,Seattle Mariners,
