card_number,name,team,designations
NHC-1,Clayton Kershaw,Los Angeles Dodgers,
NHC-2,Randy Johnson,Arizona Diamondbacks,
NHC-3,Max Scherzer,Washington Nationals,
NHC-4,Justin Verlander,Houston Astros,
NHC-5,Carlos Rodon,Chicago White Sox,
NHC-6,Corey Kluber,New York Yankees,
NHC-7,Tyler Gilbert,Arizona Diamondbacks,RC
NHC-8,John Means,Baltimore Orioles,
NHC-9,Lucas Giolito,Chicago White Sox,
NHC-10,Felix Hernandez,Seattle Mariners,
NHC-11,Mark Buehrle,Chicago White Sox,
NHC-12,Catfish Hunter,Oakland Athletics,
NHC-13,Warren Spahn,Milwaukee Braves,
NHC-14,Randy Johnson,Seattle Mariners,
NHC-15,Nolan Ryan,Texas Rangers,
NHC-16,Nolan Ryan,California Angels,
NHC-17,Nolan Ryan,Houston Astros,
NHC-18,Juan Marichal,San Francisco Giants,
NHC-19,Jim Palmer,Baltimore Orioles,
NHC-20,Bob Gibson,St. Louis Cardinals,
NHC-21,Tom Seaver,Cincinnati Reds,
NHC-22,Sean Manaea,Oakland Athletics,
NHC-23,Joe Musgrove,San Diego Padres,
NHC-24,Spencer Turnbull,Detroit Tigers,
NHC-25,Justin Verlander,Detroit Tigers,
