card_number,name,team,designations
87FS-1,Alec Bohm,Philadelphia Phillies,
87FS-2,Jo Adell,Angels,
87FS-3,Ian Anderson,Atlanta Braves,
87FS-4,Akil Baddoo,Detroit Tigers,
87FS-5,Joey Bart,San Francisco Giants,
87FS-6,Bobby Dalbec,Boston Red Sox,
87FS-7,Dylan Carlson,St. Louis Cardinals,
87FS-8,Jazz Chisholm Jr.,Miami Marlins,
87FS-9,Ke'Bryan Hayes,Pittsburgh Pirates,
87FS-10,Jonathan India,Cincinnati Reds,
87FS-11,Alex Kirilloff,Minnesota Twins,
87FS-12,Nick Madrigal,Chicago Cubs,
87FS-13,Triston McKenzie,Cleveland Guardians,
87FS-14,Logan Gilbert,Seattle Mariners,
87FS-15,Casey Mize,Detroit Tigers,
87FS-16,Ryan Mountcastle,Baltimore Orioles,
87FS-17,Cristian Pache,Atlanta Braves,
87FS-18,Nate Pearson,Toronto Blue Jays,
87FS-19,Andrew Vaughn,Chicago White Sox,
87FS-20,Trevor Rogers,Miami Marlins,
87FS-21,Tarik Skubal,Detroit Tigers,
87FS-22,Taylor Trammell,Seattle Mariners,
87FS-23,Garrett Crochet,Chicago White Sox,
87FS-24,Wander Franco,Tampa Bay Rays,RC
87FS-25,Jarred Kelenic,Seattle Mariners,
