card_number,name,team,designations
SMLBC-1,Mike Trout,Angels,
SMLBC-2,Ronald Acuña Jr.,Atlanta Braves,
SMLBC-3,Freddie Freeman,Atlanta Braves,
SMLBC-4,Rafael Devers,Boston Red Sox,
SMLBC-5,Javier Baez,New York Mets,
SMLBC-6,Luis Robert,Chicago White Sox,
SMLBC-7,Jose Ramirez,Cleveland Guardians,
SMLBC-8,Alex Bregman,Houston Astros,
SMLBC-9,Mookie Betts,Los Angeles Dodgers,
SMLBC-10,Jazz Chisholm Jr.,Miami Marlins,
SMLBC-11,Christian Yelich,Milwaukee Brewers,
SMLBC-12,Byron Buxton,Minnesota Twins,
SMLBC-13,Jacob deGrom,New York Mets,
SMLBC-14,Aaron Judge,New York Yankees,
SMLBC-15,Bryce Harper,Philadelphia Phillies,
SMLBC-16,Ke'Bryan Hayes,Pittsburgh Pirates,
SMLBC-17,Fernando Tatis Jr.,San Diego Padres,
SMLBC-18,Buster Posey,San Francisco Giants,
SMLBC-19,Yadier Molina,St. Louis Cardinals,
SMLBC-20,Wander Franco,Tampa Bay Rays,RC
SMLBC-21,Joey Gallo,New York Yankees,
SMLBC-22,Vladimir Guerrero Jr.,Toronto Blue Jays,
SMLBC-23,Juan Soto,Washington Nationals,
SMLBC-24,Shohei Ohtani,Angels,
SMLBC-25,Nolan Arenado,St. Louis Cardinals,
SMLBC-26,Gerrit Cole,New York Yankees,
SMLBC-27,Kris Bryant,San Francisco Giants,
SMLBC-28,Clayton Kershaw,Los Angeles Dodgers,
SMLBC-29,Pete Alonso,New York Mets,
SMLBC-30,Bo Bichette,Toronto Blue Jays,
