card_number,name,team,designations
SMLB-31,Francisco Lindor,New York Mets,
SMLB-32,Walker Buehler,Los Angeles Dodgers,
SMLB-33,Shohei Ohtani,Angels,
SMLB-34,Ketel Marte,Arizona Diamondbacks,
SMLB-35,Ozzie Albies,Atlanta Braves,
SMLB-36,Cedric Mullins,Baltimore Orioles,
SMLB-37,Xander Bogaerts,Boston Red Sox,
SMLB-38,J.D. Martinez,Boston Red Sox,
SMLB-39,Jose Abreu,Chicago White Sox,
SMLB-40,Eloy Jimenez,Chicago White Sox,
SMLB-41,Joey Votto,Cincinnati Reds,
SMLB-42,Shane Bieber,Cleveland Guardians,
SMLB-43,Miguel Cabrera,Detroit Tigers,
SMLB-44,Jose Altuve,Houston Astros,
SMLB-45,Yordan Alvarez,Houston Astros,
SMLB-46,Salvador Perez,Kansas City Royals,
SMLB-47,Trea Turner,Los Angeles Dodgers,
SMLB-48,Cody Bellinger,Los Angeles Dodgers,
SMLB-49,Giancarlo Stanton,New York Yankees,
SMLB-50,Matt Olson,Oakland Athletics,
SMLB-51,J.T. Realmuto,Philadelphia Phillies,
SMLB-52,Manny Machado,San Diego Padres,
SMLB-53,Mitch Haniger,Seattle Mariners,
SMLB-54,Paul Goldschmidt,St. Louis Cardinals,
SMLB-55,Jack Flaherty,St. Louis Cardinals,
SMLB-56,Randy Arozarena,Tampa Bay Rays,
SMLB-57,Adolis Garcia,Texas Rangers,
SMLB-58,George Springer,Toronto Blue Jays,
SMLB-59,Corbin Burnes,Milwaukee Brewers,
SMLB-60,Max Muncy,Los Angeles Dodgers,
