card_number,name,team,designations
WTTS-1,Jackie Robinson,Brooklyn Dodgers,
WTTS-2,Mike Trout,Angels,
WTTS-3,Buster Posey,San Francisco Giants,
WTTS-4,Ken Griffey Jr.,Seattle Mariners,
WTTS-5,Greg Maddux,Chicago Cubs,
WTTS-6,Cal Ripken Jr.,Baltimore Orioles,
WTTS-7,Kirby Puckett,Minnesota Twins,
WTTS-8,Albert Pujols,St. Louis Cardinals,
WTTS-9,Ichiro,Seattle Mariners,
WTTS-10,Frank Thomas,Chicago White Sox,
WTTS-11,Juan Soto,Washington Nationals,
WTTS-12,Ronald Acuña Jr.,Atlanta Braves,
WTTS-13,Hank Aaron,Milwaukee Braves,
WTTS-14,Chipper Jones,Atlanta Braves,
WTTS-15,Freddie Freeman,Atlanta Braves,
WTTS-16,Andrew McCutchen,Pittsburgh Pirates,
WTTS-17,Roger Clemens,Boston Red Sox,
WTTS-18,Rafael Devers,Boston Red Sox,
WTTS-19,Javier Baez,Chicago Cubs,
WTTS-20,Kris Bryant,Chicago Cubs,
WTTS-21,Cody Bellinger,Los Angeles Dodgers,
WTTS-22,Clayton Kershaw,Los Angeles Dodgers,
WTTS-23,Stephen Strasburg,Washington Nationals,
WTTS-24,Vladimir Guerrero Jr.,Toronto Blue Jays,
WTTS-25,Wander Franco,Tampa Bay Rays,RC
WTTS-26,Luis Robert,Chicago White Sox,
WTTS-27,Joey Votto,Cincinnati Reds,
WTTS-28,Miguel Cabrera,Florida Marlins,
WTTS-29,Alex Bregman,Houston Astros,
WTTS-30,Carlos Correa,Houston Astros,
WTTS-31,George Brett,Kansas City Royals,
WTTS-32,Ted Williams,Boston Red Sox,
WTTS-33,Bo Jackson,Kansas City Royals,
WTTS-34,Byron Buxton,Minnesota Twins,
WTTS-35,Jacob deGrom,New York Mets,
WTTS-36,Pete Alonso,New York Mets,
WTTS-37,Don Mattingly,New York Yankees,
WTTS-38,Aaron Judge,New York Yankees,
WTTS-39,Mark McGwire,Oakland Athletics,
WTTS-40,Roberto Clemente,Pittsburgh Pirates,
WTTS-41,Tony Gwynn,San Diego Padres,
WTTS-42,Yadier Molina,St. Louis Cardinals,
WTTS-43,Bo Bichette,Toronto Blue Jays,
WTTS-44,Johnny Bench,Cincinnati Reds,
WTTS-45,Eddie Murray,Baltimore Orioles,
WTTS-46,Rickey Henderson,Oakland Athletics,
WTTS-47,Willie Mays,New York Giants,
WTTS-48,Bryce Harper,Washington Nationals,
WTTS-49,Derek Jeter,New York Yankees,
WTTS-50,Mike Piazza,Los Angeles Dodgers,
