card_number,name,team,designations
87ASR-AB,Alex Bregman,Houston Astros,
87ASR-AJ,Aaron Judge,New York Yankees,
87ASR-BH,Bryce Harper,Philadelphia Phillies,
87ASR-BL,Barry Larkin,Cincinnati Reds,
87ASR-BP,Buster Posey,San Francisco Giants,
87ASR-CBI,Craig Biggio,Houston Astros,
87ASR-CJ,Chipper Jones,Atlanta Braves,
87ASR-CR,Cal Ripken Jr.,Baltimore Orioles,
87ASR-DJ,Derek Jeter,New York Yankees,
87ASR-DO,David Ortiz,Boston Red Sox,
87ASR-FF,Freddie Freeman,Atlanta Braves,
87ASR-FT,Frank Thomas,Chicago White Sox,
87ASR-FTJ,Fernando Tatis Jr.,San Diego Padres,
87ASR-GC,Gerrit Cole,New York Yankees,
87ASR-JA,Jose Altuve,Houston Astros,
87ASR-JB,Jeff Bagwell,Houston Astros,
87ASR-JS,Juan Soto,Washington Nationals,
87ASR-JU,Julio Urias,Los Angeles Dodgers,
87ASR-JV,Joey Votto,Cincinnati Reds,
87ASR-KG,Ken Griffey Jr.,Cincinnati Reds,
87ASR-KGJ,Ken Griffey Jr.,Seattle Mariners,
87ASR-KP,Kirby Puckett,Minnesota Twins,
87ASR-MB,Mookie Betts,Los Angeles Dodgers,
87ASR-MC,Miguel Cabrera,Detroit Tigers,
87ASR-MM,Mark McGwire,Oakland Athletics,
87ASR-MP,Mike Piazza,New York Mets,
87ASR-MR,Mariano Rivera,New York Yankees,
87ASR-MT,Mike Trout,Angels,
87ASR-OS,Ozzie Smith,St. Louis Cardinals,
87ASR-PA,Pete Alonso,New York Mets,
87ASR-PG,Paul Goldschmidt,St. Louis Cardinals,
87ASR-RA,Ronald Acuña Jr.,Atlanta Braves,
87ASR-RD,Rafael Devers,Boston Red Sox,
87ASR-RH,Rickey Henderson,Oakland Athletics,
87ASR-RY,Robin Yount,Milwaukee Brewers,
87ASR-TG,Tony Gwynn,San Diego Padres,
87ASR-VG,Vladimir Guerrero Jr.,Toronto Blue Jays,
87ASR-WB,Wade Boggs,Boston Red Sox,
87ASR-XB,Xander Bogaerts,Boston Red Sox,
87ASR-YM,Yadier Molina,St. Louis Cardinals,
