card_number,name,team,designations
ASA-AD,Andre Dawson,Montréal Expos,
ASA-BR,Brooks Robinson,Baltimore Orioles,
ASA-CR,Cal Ripken Jr.,Baltimore Orioles,
ASA-CRJ,Cal Ripken Jr.,Baltimore Orioles,
ASA-CY,Carl Yastrzemski,Boston Red Sox,
ASA-DJ,Derek Jeter,New York Yankees,
ASA-EB,Ernie Banks,Chicago Cubs,
ASA-HA,Hank Aaron,Milwaukee Braves,
ASA-HAA,Hank Aaron,Milwaukee Braves,
ASA-JB,Johnny Bench,Cincinnati Reds,
ASA-KG,Ken Griffey Jr.,Seattle Mariners,
ASA-KGJ,Ken Griffey Jr.,Seattle Mariners,
ASA-KP,Kirby Puckett,Minnesota Twins,
ASA-MM,Mark McGwire,Oakland Athletics,
ASA-PM,Pedro Martinez,Boston Red Sox,
ASA-RC,Roberto Clemente,Pittsburgh Pirates,
ASA-RH,Rickey Henderson,Oakland Athletics,
ASA-RM,Roger Maris,New York Yankees,
ASA-RS,Ryne Sandberg,Chicago Cubs,
ASA-SM,Stan Musial,St. Louis Cardinals,
ASA-TG,Tony Gwynn,San Diego Padres,
ASA-TW,Ted Williams,Boston Red Sox,
ASA-WC,Will Clark,San Francisco Giants,
ASA-WM,Willie Mays,New York Giants,
ASA-WMA,Willie Mays,San Francisco Giants,
