card_number,name,team,designations
ITN-ACH,Aroldis Chapman,New York Yankees,
ITN-AJ,Aaron Judge,New York Yankees,
ITN-ARE,Alex Reyes,St. Louis Cardinals,
ITN-BB,Bo Bichette,Toronto Blue Jays,
ITN-BC,Brandon Crawford,San Francisco Giants,
ITN-BR,Bryan Reynolds,Pittsburgh Pirates,
ITN-CBA,Chris Bassitt,Oakland Athletics,
ITN-CM,Cedric Mullins,Baltimore Orioles,
ITN-CR,Carlos Rodon,Chicago White Sox,
ITN-FF,Freddie Freeman,Atlanta Braves,
ITN-FP,Freddy Peralta,Milwaukee Brewers,
ITN-FT,Fernando Tatis Jr.,San Diego Padres,
ITN-JG,Joey Gallo,Texas Rangers,
ITN-JH,Josh Hader,Milwaukee Brewers,
ITN-JWA,Jared Walsh,Angels,
ITN-JWE,Joey Wendle,Tampa Bay Rays,
ITN-KB,Kris Bryant,Chicago Cubs,
ITN-LL,Lance Lynn,Chicago White Sox,
ITN-MBA,Matt Barnes,Boston Red Sox,
ITN-MM,Max Muncy,Los Angeles Dodgers,
ITN-MO,Matt Olson,Oakland Athletics,
ITN-MS,Max Scherzer,Washington Nationals,
ITN-MSE,Marcus Semien,Toronto Blue Jays,
ITN-MZ,Mike Zunino,Tampa Bay Rays,
ITN-NA,Nolan Arenado,St. Louis Cardinals,
ITN-NE,Nathan Eovaldi,Boston Red Sox,
ITN-OA,Ozzie Albies,Atlanta Braves,
ITN-RD,Rafael Devers,Boston Red Sox,
ITN-SP,Salvador Perez,Kansas City Royals,
ITN-TA,Tim Anderson,Chicago White Sox,
ITN-TRO,Taylor Rogers,Minnesota Twins,
ITN-TT,Trea Turner,Washington Nationals,
ITN-VG,Vladimir Guerrero Jr.,Toronto Blue Jays,
ITN-WM,Whit Merrifield,Kansas City Royals,
ITN-XB,Xander Bogaerts,Boston Red Sox,
ITN-ZW,Zack Wheeler,Philadelphia Phillies,
ITNR-AB,Alex Bregman,Houston Astros,
ITNR-ABE,Andrew Benintendi,Kansas City Royals,
ITNR-AM,Andrew McCutchen,Philadelphia Phillies,
ITNR-AN,Aaron Nola,Philadelphia Phillies,
ITNR-BB,Byron Buxton,Minnesota Twins,
ITNR-BP,Buster Posey,San Francisco Giants,
ITNR-CB,Cody Bellinger,Los Angeles Dodgers,
ITNR-CBU,Corbin Burnes,Milwaukee Brewers,
ITNR-CM,Cedric Mullins,Baltimore Orioles,
ITNR-CY,Christian Yelich,Milwaukee Brewers,
ITNR-DO,David Ortiz,Boston Red Sox,
ITNR-DS,Dansby Swanson,Atlanta Braves,
ITNR-FF,Freddie Freeman,Atlanta Braves,
ITNR-FP,Freddy Peralta,Milwaukee Brewers,
ITNR-JA,Jose Altuve,Houston Astros,
ITNR-JBA,Javier Baez,New York Mets,
ITNR-JD,Josh Donaldson,Minnesota Twins,
ITNR-JH,Jason Heyward,Chicago Cubs,
ITNR-JV,Joey Votto,Cincinnati Reds,
ITNR-KT,Kyle Tucker,Houston Astros,
ITNR-LC,Lorenzo Cain,Milwaukee Brewers,
ITNR-LCA,Luis Castillo,Cincinnati Reds,
ITNR-MB,Mookie Betts,Los Angeles Dodgers,
ITNR-MC,Matt Chapman,Oakland Athletics,
ITNR-MK,Max Kepler,Minnesota Twins,
ITNR-MM,Manny Machado,San Diego Padres,
ITNR-MMO,Mike Moustakas,Cincinnati Reds,
ITNR-MMU,Max Muncy,Los Angeles Dodgers,
ITNR-MO,Matt Olson,Oakland Athletics,
ITNR-MY,Mike Yastrzemski,San Francisco Giants,
ITNR-OA,Ozzie Albies,Atlanta Braves,
ITNR-PA,Pete Alonso,New York Mets,
ITNR-RA,Ronald Acuña Jr.,Atlanta Braves,
ITNR-RAR,Randy Arozarena,Tampa Bay Rays,
ITNR-RD,Rafael Devers,Boston Red Sox,
ITNR-RH,Rhys Hoskins,Philadelphia Phillies,
ITNR-RM,Ryan Mountcastle,Baltimore Orioles,
ITNR-SP,Salvador Perez,Kansas City Royals,
ITNR-SS,Stephen Strasburg,Washington Nationals,
ITNR-TA,Tim Anderson,Chicago White Sox,
ITNR-TH,Teoscar Hernandez,Toronto Blue Jays,
ITNR-VG,Vladimir Guerrero Jr.,Toronto Blue Jays,
ITNR-WA,Willy Adames,Milwaukee Brewers,
ITNR-WC,Willson Contreras,Chicago Cubs,
ITNR-WM,Whit Merrifield,Kansas City Royals,
ITNR-WS,Will Smith,Los Angeles Dodgers,
ITNR-XB,Xander Bogaerts,Boston Red Sox,
ITNR-YA,Yordan Alvarez,Houston Astros,
ITNR-YM,Yoan Moncada,Chicago White Sox,
ITNR-ZW,Zack Wheeler,Philadelphia Phillies,
