card_number,name,team,designations
JNM-AB,Alex Bregman,Houston Astros,
JNM-AJ,Aaron Judge,New York Yankees,
JNM-BB,Bo Bichette,Toronto Blue Jays,
JNM-BBU,Byron Buxton,Minnesota Twins,
JNM-BH,Bryce Harper,Philadelphia Phillies,
JNM-BP,Buster Posey,San Francisco Giants,
JNM-CK,Clayton Kershaw,Los Angeles Dodgers,
JNM-CY,Christian Yelich,Milwaukee Brewers,
JNM-FF,Freddie Freeman,Atlanta Braves,
JNM-FL,Francisco Lindor,New York Mets,
JNM-FT,Fernando Tatis Jr.,San Diego Padres,
JNM-GC,Gerrit Cole,New York Yankees,
JNM-JS,Juan Soto,Washington Nationals,
JNM-JV,Joey Votto,Cincinnati Reds,
JNM-LR,Luis Robert,Chicago White Sox,
JNM-MB,Mookie Betts,Los Angeles Dodgers,
JNM-MC,Miguel Cabrera,Detroit Tigers,
JNM-MT,Mike Trout,Angels,
JNM-PA,Pete Alonso,New York Mets,
JNM-RA,Ronald Acuña Jr.,Atlanta Braves,
JNM-RD,Rafael Devers,Boston Red Sox,
JNM-SO,Shohei Ohtani,Angels,
JNM-VG,Vladimir Guerrero Jr.,Toronto Blue Jays,
JNM-WF,Wander Franco,Tampa Bay Rays,RC
JNM-YM,Yadier Molina,St. Louis Cardinals,
