card_number,name,team,designations
SSA-AJ,Aaron Judge,New York Yankees,
SSA-BH,Bryce Harper,Philadelphia Phillies,
SSA-BL,Barry Larkin,Cincinnati Reds,
SSA-BP,Buster Posey,San Francisco Giants,
SSA-CR,Cal Ripken Jr.,Baltimore Orioles,
SSA-DJ,Derek Jeter,New York Yankees,
SSA-FF,Freddie Freeman,Atlanta Braves,
SSA-FT,Fernando Tatis Jr.,San Diego Padres,
SSA-I,Ichiro,Seattle Mariners,
SSA-JA,Jose Altuve,Houston Astros,
SSA-JS,Juan Soto,Washington Nationals,
SSA-KG,Ken Griffey Jr.,Seattle Mariners,
SSA-KP,Kirby Puckett,Minnesota Twins,
SSA-MB,Mookie Betts,Los Angeles Dodgers,
SSA-MC,Miguel Cabrera,Detroit Tigers,
SSA-MP,Mike Piazza,New York Mets,
SSA-MS,Mike Schmidt,Philadelphia Phillies,
SSA-MT,Mike Trout,Angels,
SSA-RA,Ronald Acuña Jr.,Atlanta Braves,
SSA-RS,Ryne Sandberg,Chicago Cubs,
SSA-SO,Shohei Ohtani,Angels,
SSA-TG,Tony Gwynn,San Diego Padres,
SSA-VG,Vladimir Guerrero,Montréal Expos,
SSA-VGJ,Vladimir Guerrero Jr.,Toronto Blue Jays,
SSA-WB,Wade Boggs,Boston Red Sox,
