card_number,name,team,designations,variation_note
12,Gavin Sheets,Chicago White Sox,RC,Large RC logo
18,Emmanuel Rivera,Kansas City Royals,RC,Large RC logo
20,Jake Cousins,Milwaukee Brewers,RC,Large RC logo
22,Bryan De La Cruz,Miami Marlins,RC,Large RC logo
25,Vidal Brujan,Tampa Bay Rays,RC,Large RC logo
30,Kyle Muller,Atlanta Braves,RC,Large RC logo
31,Matt Manning,Detroit Tigers,RC,Large RC logo
38,Mason Thompson,Washington Nationals,RC,Large RC logo
43,Josiah Gray,Washington Nationals,RC,Large RC logo
58,Lars Nootbaar,St. Louis Cardinals,RC,Large RC logo
61,Jakson Reetz,Washington Nationals,RC,Large RC logo
62,Luke Williams,Philadelphia Phillies,RC,Large RC logo
66,Connor Wong,Boston Red Sox,RC,Large RC logo
71,Ernie Clement,Cleveland Guardians,RC,Large RC logo
78,Aaron Ashby,Milwaukee Brewers,RC,Large RC logo
85,Rodolfo Castro,Pittsburgh Pirates,RC,Large RC logo
97,Curtis Terry,Texas Rangers,RC,Large RC logo
108,Zach Pop,Miami Marlins,RC,Large RC logo
111,Tony Santillan,Cincinnati Reds,RC,Large RC logo
118,Alex Wells,Baltimore Orioles,RC,Large RC logo
130,Tyler Gilbert,Arizona Diamondbacks,RC,Large RC logo
131,Luis Gil,New York Yankees,RC,Large RC logo
133,Zac Lowther,Baltimore Orioles,RC,Large RC logo
134,Tylor Megill,New York Mets,RC,Large RC logo
135,Chas McCormick,Houston Astros,RC,Large RC logo
140,Ivan Castillo,San Diego Padres,RC,Large RC logo
148,Zack Short,Detroit Tigers,RC,Large RC logo
158,Riley Adams,Washington Nationals,RC,Large RC logo
160,Anthony Bender,Miami Marlins,RC,Large RC logo
163,Stuart Fairchild,Arizona Diamondbacks,RC,Large RC logo
166,Patrick Mazeika,New York Mets,RC,Large RC logo
184,Hoy Park,Pittsburgh Pirates,RC,Large RC logo
186,Jake Burger,Chicago White Sox,RC,Large RC logo
187,Jarren Duran,Boston Red Sox,RC,Large RC logo
201,Reid Detmers,Angels,RC,Large RC logo
215,Wander Franco,Tampa Bay Rays,RC,Large RC logo
217,Eli Morgan,Cleveland Guardians,RC,Large RC logo
227,Zach Thompson,Miami Marlins,RC,Large RC logo
231,Ronnie Dawson,Houston Astros,RC,Large RC logo
243,Brandon Marsh,Angels,RC,Large RC logo
258,Andre Jackson,Los Angeles Dodgers,RC,Large RC logo
263,Trey Amburgey,New York Yankees,RC,Large RC logo
264,Jackson Kowar,Kansas City Royals,RC,Large RC logo
277,Cal Raleigh,Seattle Mariners,RC,Large RC logo
295,Jake Meyers,Houston Astros,RC,Large RC logo
298,Drew Ellis,Arizona Diamondbacks,RC,Large RC logo
308,Sammy Long,San Francisco Giants,RC,Large RC logo
316,Matt Vierling,Philadelphia Phillies,RC,Large RC logo
325,Max Kranick,Pittsburgh Pirates,RC,Large RC logo
