card_number,name,team,designations
331,Rafael Devers,Boston Red Sox,
337,Aaron Nola,Philadelphia Phillies,
345,Seth Beer,Arizona Diamondbacks,
350,Justin Verlander,Houston Astros,
354,Mike Schmidt,Philadelphia Phillies,
355,Teoscar Hernandez,Toronto Blue Jays,
356,Carl Yastrzemski,Boston Red Sox,
361,George Springer,Toronto Blue Jays,
364,Ichiro,Seattle Mariners,
370,Jake McCarthy,Arizona Diamondbacks,
372,Frank Thomas,Chicago White Sox,
375,Mike Piazza,New York Mets,
390,Joe Ryan,Minnesota Twins,
396,Kenley Jansen,Los Angeles Dodgers,
397,Tyler O'Neill,St. Louis Cardinals,
400,Yordan Alvarez,Houston Astros,
401,Ozzie Albies,Atlanta Braves,
405,Carlos Correa,Houston Astros,
409,Chris Sale,Boston Red Sox,
415,Eddie Murray,Baltimore Orioles,
421,Shane Baz,Tampa Bay Rays,
422,Otto Lopez,Toronto Blue Jays,
429,Marcus Semien,Texas Rangers,
431,Casey Mize,Detroit Tigers,
438,Walker Buehler,Los Angeles Dodgers,
440,Tony Gwynn,San Diego Padres,
443,Cody Bellinger,Los Angeles Dodgers,
445,Don Mattingly,New York Yankees,
448,Frank Robinson,Cincinnati Reds,
450,Francisco Lindor,New York Mets,
453,Kirby Puckett,Minnesota Twins,
466,Ryne Sandberg,Chicago Cubs,
492,Stephen Strasburg,Washington Nationals,
479,Josh Lowe,Tampa Bay Rays,
483,Bo Jackson,Kansas City Royals,
485,Johnny Bench,Cincinnati Reds,
490,Ernie Banks,Chicago Cubs,
497,Roger Maris,New York Yankees,
499,Brandon Lowe,Tampa Bay Rays,
500,Eloy Jimenez,Chicago White Sox,
506,Juan Yepez,St. Louis Cardinals,
507,Dansby Swanson,Atlanta Braves,
509,Spencer Strider,Atlanta Braves,
523,Rhys Hoskins,Philadelphia Phillies,
530,Bryan Reynolds,Pittsburgh Pirates,
531,Randy Johnson,Seattle Mariners,
535,Paul Goldschmidt,St. Louis Cardinals,
537,Oneil Cruz,Pittsburgh Pirates,
543,Roansy Contreras,Pittsburgh Pirates,
550,Trea Turner,Los Angeles Dodgers,
557,Barry Larkin,Cincinnati Reds,
563,Jonathan India,Cincinnati Reds,
565,Ozzie Smith,St. Louis Cardinals,
566,Edward Cabrera,Miami Marlins,
571,Javier Baez,Detroit Tigers,
572,Max Muncy,Los Angeles Dodgers,
576,Byron Buxton,Minnesota Twins,
578,Dylan Carlson,St. Louis Cardinals,
579,Ryan Mountcastle,Baltimore Orioles,
582,Wade Boggs,Boston Red Sox,
584,Noah Syndergaard,Angels,
586,Ryan Vilade,Colorado Rockies,
588,Jack Flaherty,St. Louis Cardinals,
589,George Brett,Kansas City Royals,
595,Romy Gonzalez,Chicago White Sox,
599,Jose Siri,Houston Astros,
600,Manny Machado,San Diego Padres,
625,Reggie Jackson,New York Yankees,
629,Chipper Jones,Atlanta Braves,
632,Will Clark,San Francisco Giants,
636,Kevin Smith,Toronto Blue Jays,
650,Giancarlo Stanton,New York Yankees,
652,Adolis Garcia,Texas Rangers,
655,Andrew McCutchen,Philadelphia Phillies,
658,Spencer Torkelson,Los Angeles Dodgers,
659,Julio Rodriguez,San Francisco Giants,
660,Bobby Witt Jr.,Angels,
660,Shohei Ohtani,Angels,
