card_number,name,team,designations
1,Shohei Ohtani,Angels,
6,Jazz Chisholm Jr.,Miami Marlins,
8,Xander Bogaerts,Boston Red Sox,
12,Gavin Sheets,Chicago White Sox,
21,Shane Bieber,Cleveland Guardians,
23,Derek Jeter,New York Yankees,
25,Vidal Brujan,Tampa Bay Rays,
27,Mike Trout,Angels,
31,Matt Manning,Detroit Tigers,
35,Gerrit Cole,New York Yankees,
41,Clayton Kershaw,Los Angeles Dodgers,
42,Jackie Robinson,Brooklyn Dodgers,
43,Josiah Gray,Washington Nationals,
50,Mookie Betts,Los Angeles Dodgers,
56,Ke'Bryan Hayes,Pittsburgh Pirates,
64,Tim Anderson,Chicago White Sox,
68,Alex Bregman,Houston Astros,
83,Will Smith,Los Angeles Dodgers,
85,Rodolfo Castro,Pittsburgh Pirates,
86,Kris Bryant,San Francisco Giants,
87,Nolan Arenado,St. Louis Cardinals,
99,Aaron Judge,New York Yankees,
100,Fernando Tatis Jr.,San Diego Padres,
103,MIke Yastrzemksi,San Francisco Giants,
103,Willie Mays,San Francisco Giants,
107,Luis Robert,Chicago White Sox,
126,Bo Bichette,Toronto Blue Jays,
131,Luis Gil,New York Yankees,
135,Chas McCormick,Houston Astros,
149,Matt Olson,Oakland Athletics,
150,Juan Soto,Washington Nationals,
176,Matt Chapman,Oakland Athletics,
180,J.T. Realmuto,Philadelphia Phillies,
182,J.D. Martinez,Boston Red Sox,
185,Ken Griffey Jr.,Seattle Mariners,
187,Jarren Duran,Boston Red Sox,
196,Randy Arozarena,Tampa Bay Rays,
200,Ronald Acuña Jr.,Atlanta Braves,
201,Reid Detmers,Angels,
205,Yadier Molina,St. Louis Cardinals,
206,Kyle Lewis,Seattle Mariners,
209,Buster Posey,San Francisco Giants,
215,Wander Franco,Tampa Bay Rays,
216,Kyle Schwarber,Boston Red Sox,
219,Salvador Perez,Kansas City Royals,
233,Hank Aaron,Atlanta Braves,
236,Freddie Freeman,Atlanta Braves,
237,Albert Pujols,Los Angeles Dodgers,
242,Anthony Rizzo,New York Yankees,
243,Brandon Marsh,Angels,
245,Whit Merrifield,Kansas City Royals,
246,Willie Mays,San Francisco Giants,
250,Bryce Harper,Philadelphia Phillies,
259,Marcus Stroman,New York Mets,
260,Trevor Story,Colorado Rockies,
264,Jackson Kowar,Kansas City Royals,
269,Jose Ramirez,Cleveland Guardians,
277,Cal Raleigh,Seattle Mariners,
278,Jose Altuve,Houston Astros,
285,Roberto Clemente,Pittsburgh Pirates,
288,Christian Yelich,Milwaukee Brewers,
290,Joey Votto,Cincinnati Reds,
297,Hyun-Jin Ryu,Toronto Blue Jays,
299,Julio Urias,Los Angeles Dodgers,
300,Vladimir Guerrero Jr.,Toronto Blue Jays,
