card_number,name,team,designations,variation_note
200,Ronald Acuña Jr.,Atlanta Braves,,World Series Celebration
208,Jorge Soler,Atlanta Braves,,World Series Celebration
215,Raymond,Tampa Bay Rays,,Mascot Head
236,Freddie Freeman,Atlanta Braves,,World Series Celebration
250,Phillie Phanatic,Philadelphia Phillies,,Mascot Head
290,Mr. Redlegs,Cincinnati Reds,,Mascot Head
300,Swingin' Friar,Toronto Blue Jays,,Mascot Head
315,Mr. Met,New York Mets,,Mascot Head
401,Ozzie Albies,Atlanta Braves,,World Series Celebration
507,Dansby Swanson,Atlanta Braves,,World Series Celebration
