card_number,name,team,designations
88ASA-AD,Andre Dawson,Chicago Cubs,
88ASA-AG,Alex Gordon,Kansas City Royals,
88ASA-AGI,Andrés Giménez,Cleveland Guardians,
88ASA-AJ,Aaron Judge,New York Yankees,
88ASA-AJO,Andruw Jones,Atlanta Braves,
88ASA-AP,Albert Pujols,St. Louis Cardinals,
88ASA-AR,Austin Riley,Atlanta Braves,
88ASA-BB,Byron Buxton,Minnesota Twins,
88ASA-BH,Bryce Harper,Philadelphia Phillies,
88ASA-BJ,Bo Jackson,Kansas City Royals,
88ASA-BL,Barry Larkin,Cincinnati Reds,
88ASA-CB,Corbin Burnes,Milwaukee Brewers,
88ASA-CBI,Craig Biggio,Houston Astros,
88ASA-CF,Cecil Fielder,Detroit Tigers,
88ASA-CFI,Carlton Fisk,Boston Red Sox,
88ASA-CJ,Chipper Jones,Atlanta Braves,
88ASA-CYA,Carl Yastrzemski,Boston Red Sox,
88ASA-DE,Dennis Eckersley,Oakland Athletics,
88ASA-DG,Dwight Gooden,New York Mets,
88ASA-DJ,Derek Jeter,New York Yankees,
88ASA-DM,Don Mattingly,New York Yankees,
88ASA-DMU,Dale Murphy,Atlanta Braves,
88ASA-DO,David Ortiz,Boston Red Sox,
88ASA-DP,Dustin Pedroia,Boston Red Sox,
88ASA-DSW,Dansby Swanson,Atlanta Braves,
88ASA-DW,Dave Winfield,New York Yankees,
88ASA-DWI,Dontrelle Willis,Florida Marlins,
88ASA-DWR,David Wright,New York Mets,
88ASA-EM,Edgar Martinez,Seattle Mariners,
88ASA-EMU,Eddie Murray,Baltimore Orioles,
88ASA-FT,Fernando Tatis Jr.,San Diego Padres,
88ASA-FTH,Frank Thomas,Chicago White Sox,
88ASA-HM,Hideki Matsui,New York Yankees,
88ASA-I,Ichiro,Seattle Mariners,
88ASA-JAB,José Abreu,Houston Astros,
88ASA-JB,Jeff Bagwell,Houston Astros,
88ASA-JBE,Johnny Bench,Cincinnati Reds,
88ASA-JC,Joe Carter,Toronto Blue Jays,
88ASA-JG,Juan Gonzalez,Texas Rangers,
88ASA-JMA,Joe Mauer,Minnesota Twins,
88ASA-JP,Jim Palmer,Baltimore Orioles,
88ASA-JR,Julio Rodríguez,Seattle Mariners,
88ASA-JRA,José Ramírez,Cleveland Guardians,
88ASA-JRI,Jim Rice,Boston Red Sox,
88ASA-JSM,John Smoltz,Atlanta Braves,
88ASA-JT,Jim Thome,Philadelphia Phillies,
88ASA-JVA,Jason Varitek,Boston Red Sox,
88ASA-MB,Mark Buehrle,Chicago White Sox,
88ASA-MM,Mark McGwire,Oakland Athletics,
88ASA-MMU,Max Muncy,Los Angeles Dodgers,
88ASA-MR,Mariano Rivera,New York Yankees,
88ASA-MT,Mike Trout,Angels,
88ASA-NC,Nestor Cortes,New York Yankees,
88ASA-OS,Ozzie Smith,St. Louis Cardinals,
88ASA-PA,Pete Alonso,New York Mets,
88ASA-PM,Paul Molitor,Milwaukee Brewers,
88ASA-RA,Ronald Acuña Jr.,Atlanta Braves,
88ASA-RC,Roger Clemens,Boston Red Sox,
88ASA-RJ,Randy Johnson,Seattle Mariners,
88ASA-RS,Ryne Sandberg,Chicago Cubs,
88ASA-SA,Sandy Alcantara,Miami Marlins,
88ASA-SB,Shane Bieber,Cleveland Guardians,
88ASA-SC,Steve Carlton,Philadelphia Phillies,
88ASA-SP,Salvador Perez,Kansas City Royals,
88ASA-SS,Sammy Sosa,Chicago Cubs,
88ASA-TG,Tom Glavine,Atlanta Braves,
88ASA-TR,Tim Raines,Montréal Expos,
88ASA-VG,Vladimir Guerrero Jr.,Toronto Blue Jays,
88ASA-VGO,Vladimir Guerrero,Montréal Expos,
88ASA-WBO,Wade Boggs,Boston Red Sox,
88ASA-WC,Will Clark,San Francisco Giants,
