card_number,name,team,designations
88ASR-AB,Alex Bregman,Houston Astros,
88ASR-AJ,Aaron Judge,New York Yankees,
88ASR-AP,Albert Pujols,St. Louis Cardinals,
88ASR-AR,Austin Riley,Atlanta Braves,
88ASR-BB,Byron Buxton,Minnesota Twins,
88ASR-BH,Bryce Harper,Philadelphia Phillies,
88ASR-BL,Barry Larkin,Cincinnati Reds,
88ASR-BP,Buster Posey,San Francisco Giants,
88ASR-CB,Craig Biggio,Houston Astros,
88ASR-CJ,Chipper Jones,Atlanta Braves,
88ASR-CK,Clayton Kershaw,Los Angeles Dodgers,
88ASR-CR,Cal Ripken Jr.,Baltimore Orioles,
88ASR-DJ,Derek Jeter,New York Yankees,
88ASR-DO,David Ortiz,Boston Red Sox,
88ASR-FF,Freddie Freeman,Los Angeles Dodgers,
88ASR-FT,Fernando Tatis Jr.,San Diego Padres,
88ASR-FTH,Frank Thomas,Chicago White Sox,
88ASR-GC,Gerrit Cole,New York Yankees,
88ASR-JA,Jose Altuve,Houston Astros,
88ASR-JB,Jeff Bagwell,Houston Astros,
88ASR-JC,Jazz Chisholm Jr.,Miami Marlins,
88ASR-JR,José Ramírez,Cleveland Guardians,
88ASR-JROD,Julio Rodríguez,Seattle Mariners,
88ASR-JS,Juan Soto,San Diego Padres,
88ASR-JV,Justin Verlander,New York Mets,
88ASR-JVO,Joey Votto,Cincinnati Reds,
88ASR-KG,Ken Griffey Jr.,Seattle Mariners,
88ASR-KP,Kirby Puckett,Minnesota Twins,
88ASR-MB,Mookie Betts,Los Angeles Dodgers,
88ASR-MC,Miguel Cabrera,Detroit Tigers,
88ASR-MM,Manny Machado,San Diego Padres,
88ASR-MMC,Mark McGwire,Oakland Athletics,
88ASR-MP,Mike Piazza,New York Mets,
88ASR-MR,Mariano Rivera,New York Yankees,
88ASR-MT,Mike Trout,Angels,
88ASR-NR,Nolan Ryan,Texas Rangers,
88ASR-OS,Ozzie Smith,St. Louis Cardinals,
88ASR-PA,Pete Alonso,New York Mets,
88ASR-PG,Paul Goldschmidt,St. Louis Cardinals,
88ASR-RA,Ronald Acuña Jr.,Atlanta Braves,
88ASR-RD,Rafael Devers,Boston Red Sox,
88ASR-RH,Rickey Henderson,Oakland Athletics,
88ASR-RJ,Randy Johnson,Arizona Diamondbacks,
88ASR-RY,Robin Yount,Milwaukee Brewers,
88ASR-SO,Shohei Ohtani,Angels,
88ASR-TG,Tony Gwynn,San Diego Padres,
88ASR-TT,Trea Turner,Philadelphia Phillies,
88ASR-VG,Vladimir Guerrero Jr.,Toronto Blue Jays,
88ASR-WB,Wade Boggs,Boston Red Sox,
88ASR-YM,Yadier Molina,St. Louis Cardinals,
