card_number,name,team,designations
88BA-AJU,Aaron Judge,New York Yankees,
88BA-ARZ,Anthony Rizzo,New York Yankees,
88BA-BB,Brett Baty,New York Mets,RC
88BA-BBU,Byron Buxton,Minnesota Twins,
88BA-BH,Brandon Hughes,Chicago Cubs,RC
88BA-BHA,Bryce Harper,Philadelphia Phillies,
88BA-BK,Buddy Kennedy,Arizona Diamondbacks,RC
88BA-BMA,Bligh Madris,Pittsburgh Pirates,RC
88BA-BR,Bryan Reynolds,Pittsburgh Pirates,
88BA-BS,Brian Serven,Colorado Rockies,RC
88BA-BUB,Bubba Thompson,Texas Rangers,RC
88BA-BWO,Brandon Woodruff,Milwaukee Brewers,
88BA-CAR,Corbin Carroll,Arizona Diamondbacks,RC
88BA-CBU,Corbin Burnes,Milwaukee Brewers,
88BA-CCA,Conner Capel,St. Louis Cardinals,RC
88BA-CK,Caleb Kilian,Chicago Cubs,RC
88BA-CMI,Cal Mitchell,Pittsburgh Pirates,RC
88BA-CMO,Christopher Morel,Chicago Cubs,RC
88BA-CS,Canaan Smith-Njigba,Pittsburgh Pirates,RC
88BA-DAS,Dave Stewart,Oakland Athletics,
88BA-DE,Dennis Eckersley,Oakland Athletics,
88BA-DHA,Darick Hall,Philadelphia Phillies,RC
88BA-DJ,Derek Jeter,New York Yankees,
88BA-DMA,Don Mattingly,New York Yankees,
88BA-DMAC,David MacKinnon,Angels,RC
88BA-DV,David Villar,San Francisco Giants,RC
88BA-DWR,David Wright,New York Mets,
88BA-EDU,Ezequiel Duran,Texas Rangers,RC
88BA-EMA,Edgar Martinez,Seattle Mariners,
88BA-ERZ,Esteury Ruiz,Milwaukee Brewers,RC
88BA-ES,Ethan Small,Milwaukee Brewers,RC
88BA-GA,Graham Ashcraft,Cincinnati Reds,RC
88BA-GH,Gunnar Henderson,Baltimore Orioles,RC
88BA-GK,George Kirby,Seattle Mariners,
88BA-GS,George Springer,Toronto Blue Jays,
88BA-JAR,Jonathan Aranda,Tampa Bay Rays,RC
88BA-JBR,Jonah Bride,Oakland Athletics,RC
88BA-JCA,Jose Canseco,Oakland Athletics,
88BA-JJ,Josh Jung,Texas Rangers,RC
88BA-JJB,JJ Bleday,Miami Marlins,RC
88BA-JK,John Kruk,Philadelphia Phillies,
88BA-JM,Joe Musgrove,San Diego Padres,
88BA-JROD,Julio Rodriguez,Seattle Mariners,
88BA-JSM,Josh Smith,Texas Rangers,RC
88BA-JST,Justin Steele,Chicago Cubs,RC
88BA-JWI,Josh Winckowski,Boston Red Sox,RC
88BA-KC,Kody Clemens,Detroit Tigers,RC
88BA-KH,Ke'Bryan Hayes,Pittsburgh Pirates,
88BA-KL,Korey Lee,Houston Astros,RC
88BA-LEB,Charles Leblanc,Miami Marlins,RC
88BA-LP,Liover Peguero,Pittsburgh Pirates,RC
88BA-LWE,Logan Webb,San Francisco Giants,
88BA-MA,Mark Appel,Philadelphia Phillies,RC
88BA-MAR,Davis Martin,Chicago White Sox,RC
88BA-MAS,Michael Massey,Kansas City Royals,RC
88BA-MG,Michael Grove,Los Angeles Dodgers,RC
88BA-MH,Michael Harris II,Atlanta Braves,RC
88BA-MMC,Mark McGwire,Oakland Athletics,
88BA-MMU,Max Muncy,Los Angeles Dodgers,
88BA-MS,Michael Stefanic,Angels,RC
88BA-MSC,Mike Schmidt,Philadelphia Phillies,
88BA-MW,Marcus Wilson,Seattle Mariners,RC
88BA-NC,Narciso Crook,Chicago Cubs,RC
88BA-NCO,Nestor Cortes,New York Yankees,
88BA-NGO,Nolan Gorman,St. Louis Cardinals,RC
88BA-OG,Oscar Gonzalez,Cleveland Guardians,RC
88BA-OP,Oswald Peraza,New York Yankees,RC
88BA-OS,Ozzie Smith,St. Louis Cardinals,
88BA-OUT,James Outman,Los Angeles Dodgers,RC
88BA-PA,Pete Alonso,New York Mets,
88BA-PG,Paul Goldschmidt,St. Louis Cardinals,
88BA-SBO,Sean Bouchard,Colorado Rockies,RC
88BA-SC,Steve Carlton,Philadelphia Phillies,
88BA-SG,Sonny Gray,Minnesota Twins,
88BA-SL,Shea Langeliers,Oakland Athletics,RC
88BA-SW,Steele Walker,Texas Rangers,RC
88BA-TS,Travis Swaggerty,Pittsburgh Pirates,RC
88BA-VAV,Terrin Vavra,Baltimore Orioles,RC
88BA-VP,Vinnie Pasquantino,Kansas City Royals,RC
88BA-ZT,Zack Thompson,St. Louis Cardinals,RC
88BA-AJ,Andruw Jones,Atlanta Braves,
88BA-ARU,Adley Rutschman,Baltimore Orioles,RC
88BA-BJ,Bo Jackson,Kansas City Royals,
88BA-BL,Barry Larkin,Cincinnati Reds,
88BA-BW,Bobby Witt Jr.,Kansas City Royals,
88BA-CF,Carlton Fisk,Chicago White Sox,
88BA-DM,Dale Murphy,Atlanta Braves,
88BA-DO,David Ortiz,Boston Red Sox,
88BA-DS,Dansby Swanson,Atlanta Braves,
88BA-DW,Dontrelle Willis,Florida Marlins,
88BA-ED,Eric Davis,Cincinnati Reds,
88BA-EM,Eddie Murray,Baltimore Orioles,
88BA-FT,Frank Thomas,Chicago White Sox,
88BA-JD,Jeter Downs,Boston Red Sox,RC
88BA-JS,John Smoltz,Atlanta Braves,
88BA-JV,Joey Votto,Cincinnati Reds,
88BA-JVA,Jason Varitek,Boston Red Sox,
88BA-LC,Luis Castillo,Seattle Mariners,
88BA-LR,Luis Robert,Chicago White Sox,
88BA-LW,Larry Walker,Colorado Rockies,
88BA-MO,Matt Olson,Atlanta Braves,
88BA-MT,Mike Trout,Angels,
88BA-NG,Nomar Garciaparra,Boston Red Sox,
88BA-NJ,Nolan Jones,Cleveland Guardians,RC
88BA-NP,Nick Pratto,Kansas City Royals,RC
88BA-PW,Patrick Wisdom,Chicago Cubs,
88BA-RA,Ronald Acuña Jr.,Atlanta Braves,
88BA-RG,Riley Greene,Detroit Tigers,RC
88BA-RM,Ryan Mountcastle,Baltimore Orioles,
88BA-SB,Shane Bieber,Cleveland Guardians,
88BA-SK,Steven Kwan,Cleveland Guardians,
88BA-SO,Shohei Ohtani,Angels,
88BA-TF,Tyler Freeman,Cleveland Guardians,RC
88BA-TG,Tom Glavine,Atlanta Braves,
88BA-TR,Tim Raines,Chicago White Sox,
88BA-WAT,Drew Waters,Kansas City Royals,RC
88BA-WB,Wade Boggs,Boston Red Sox,
