card_number,name,team,designations
2T88C-1,Kodai Senga,New York Mets,RC
2T88C-3,Bo Naylor,Cleveland Guardians,RC
2T88C-4,Mike Trout,Angels,
2T88C-7,Jeff Bagwell,Houston Astros,
2T88C-8,Jerar Encarnación,Miami Marlins,RC
2T88C-12,Ryan Mountcastle,Baltimore Orioles,
2T88C-14,Mark Vientos,New York Mets,RC
2T88C-15,Masataka Yoshida,Boston Red Sox,RC
2T88C-16,Mariano Rivera,New York Yankees,
2T88C-28,Gunnar Henderson,Baltimore Orioles,RC
2T88C-33,Ozzie Albies,Atlanta Braves,
2T88C-35,Greg Maddux,Atlanta Braves,
2T88C-36,Logan O'Hoppe,Angels,RC
2T88C-37,Jordan Díaz,Oakland Athletics,RC
2T88C-38,Jeremy Peña,Houston Astros,
2T88C-40,Simeon Woods Richardson,Minnesota Twins,RC
2T88C-41,Eddie Murray,Baltimore Orioles,
2T88C-42,Mike Yastrzemski,San Francisco Giants,
2T88C-43,Shane McClanahan,Tampa Bay Rays,
2T88C-44,Dylan Cease,Chicago White Sox,
2T88C-45,Garrett Mitchell,Milwaukee Brewers,RC
2T88C-48,Francisco Álvarez,New York Mets,RC
2T88C-49,Ken Waldichuk,Oakland Athletics,RC
2T88C-51,Xander Bogaerts,San Diego Padres,
2T88C-52,Jose Altuve,Houston Astros,
2T88C-54,Ryan Kreidler,Detroit Tigers,RC
2T88C-56,David Ortiz,Boston Red Sox,
2T88C-58,Mike Piazza,New York Mets,
2T88C-59,Triston Casas,Boston Red Sox,RC
2T88C-62,Oswald Peraza,New York Yankees,RC
2T88C-70,David Wright,New York Mets,
2T88C-74,Michael Massey,Kansas City Royals,RC
2T88C-76,Albert Pujols,St. Louis Cardinals,
2T88C-77,Carlos Rodón,New York Yankees,
2T88C-78,Alek Manoah,Toronto Blue Jays,
2T88C-79,Adrián Beltré,Texas Rangers,
2T88C-80,Alec Burleson,St. Louis Cardinals,RC
2T88C-82,Spencer Steer,Cincinnati Reds,RC
2T88C-84,Jordan Groshans,Miami Marlins,RC
2T88C-87,Corbin Burnes,Milwaukee Brewers,
2T88C-88,Josh Jung,Texas Rangers,RC
2T88C-89,Trea Turner,Philadelphia Phillies,
2T88C-91,Iván Herrera,St. Louis Cardinals,RC
2T88C-92,Logan Webb,San Francisco Giants,
2T88C-94,Will Brennan,Cleveland Guardians,RC
2T88C-98,Manny Machado,San Diego Padres,
2T88C-99,Lenyn Sosa,Chicago White Sox,RC
2T88C-100,Roger Clemens,Boston Red Sox,
