card_number,name,team,designations
22GHA-AP,Albert Pujols,St. Louis Cardinals,
22GHA-MY,Mike Yastrzemski,San Francisco Giants,
22GHA-MT,Mike Trout,Angels,
22GHA-JR,Julio Rodriguez,Seattle Mariners,
22GHA-AD,Adley Rutschman,Baltimore Orioles,
22GHA-AJ,Aaron Judge,New York Yankees,
22GHA-JS,Juan Soto,San Diego Padres,
22GHA-SO,Shohei Ohtani,Angels,
22GHA-PG,Paul Goldschmidt,St. Louis Cardinals,
22GHA-YA,Yordan Alvarez,Houston Astros,
22GHA-RG,Riley Greene,Detroit Tigers,
22GHA-VG,Vladimir Guerrero Jr.,Toronto Blue Jays,
22GHA-GH,Gunnar Henderson,Baltimore Orioles,
22GHA-BH,Bryce Harper,Philadelphia Phillies,
22GHA-AR,Anthony Rizzo,New York Yankees,
