card_number,name,team,designations
SSP-AJ,Aaron Judge,New York Yankees,
SSP-AK,Alejandro Kirk,Toronto Blue Jays,
SSP-BD,Brandon Drury,San Diego Padres,
SSP-FF,Freddie Freeman,Los Angeles Dodgers,
SSP-JA,Jose Altuve,Houston Astros,
SSP-JB,Josh Bell,San Diego Padres,
SSP-JM,Jeff McNeil,New York Mets,
SSP-JR,J.T. Realmuto,Philadelphia Phillies,
SSP-JRA,José Ramírez,Cleveland Guardians,
SSP-JRO,Julio Rodríguez,Seattle Mariners,
SSP-JS,Juan Soto,San Diego Padres,
SSP-KS,Kyle Schwarber,Philadelphia Phillies,
SSP-LA,Luis Arraez,Minnesota Twins,
SSP-MB,Mookie Betts,Los Angeles Dodgers,
SSP-MT,Mike Trout,Angels,
SSP-NA,Nolan Arenado,St. Louis Cardinals,
SSP-NL,Nathaniel Lowe,Texas Rangers,
SSP-TT,Trea Turner,Los Angeles Dodgers,
SSP-XB,Xander Bogaerts,Boston Red Sox,
SSP-YA,Yordan Alvarez,Houston Astros,
