card_number,name,team,designations
WBC-1,Mike Trout USA,,
WBC-2,Paul Goldschmidt USA,,
WBC-3,Pete Alonso USA,,
WBC-4,Nolan Arenado USA,,
WBC-5,Tim Anderson USA,,
WBC-7,Juan Soto Dominican Republic,,
WBC-9,Manny Machado Dominican Republic,,
WBC-11,Shohei Ohtani Japan,,
WBC-12,Trea Turner USA,,
WBC-13,Luis Robert Cuba,,
WBC-14,Randy Arozarena Mexico,,
WBC-15,Jose Altuve Venezuela,,
WBC-16,Ronald Acuña Jr. Venezuela,,
WBC-17,Miguel Cabrera Venezuela,,
WBC-20,Javier Baez Puerto Rico,,
WBC-21,Bobby Witt Jr. USA,,
WBC-22,Julio Urias Mexico,,
WBC-23,Freddie Freeman Canada,,
WBC-24,Julio Rodríguez Dominican Republic,,
WBC-25,Wander Franco Dominican Republic,,
WBC-26,Eloy Jiménez Dominican Republic,,
WBC-28,Joc Pederson Isreal,,
WBC-29,Alex Verdugo Mexico,,
WBC-30,Xander Bogaerts Netherlands,,
WBC-32,J.T. Realmuto USA,,
WBC-33,Masataka Yoshida Japan,,
WBC-36,Kyle Schwarber USA,,
WBC-38,Vinnie Pasquantino Italy,,
WBC-40,Alek Thomas Mexico,,
WBC-41,Jonathan Aranda Mexico,,
WBC-44,Luis Arraez Venezuela,,
WBC-47,Andres Gimenez Venezuela,,
WBC-51,MJ Melendez Puerto Rico,,
WBC-52,Joey Meneses Mexico,,
WBC-53,Bo Naylor Canada,,
WBC-54,Lars Nootbaar Japan,,
WBC-55,Jeremy Pena Dominican Republic,,
