card_number,name,team,designations
AA-26,Tom Glavine,Atlanta Braves,
AA-27,Spencer Strider,Atlanta Braves,
AA-30,Hunter Greene,Cincinnati Reds,
AA-31,Triston McKenzie,Cleveland Guardians,
AA-32,Nolan Ryan,Houston Astros,
AA-34,Sonny Gray,Minnesota Twins,
AA-37,Nestor Cortes,New York Yankees,
AA-38,CC Sabathia,New York Yankees,
AA-39,Steve Carlton,Philadelphia Phillies,
AA-42,Blake Snell,San Diego Padres,
AA-43,Logan Webb,San Francisco Giants,
AA-44,Félix Hernández,Seattle Mariners,
AA-46,Kodai Senga,New York Mets,RC
AA-47,Randy Johnson,Seattle Mariners,
AA-50,Kevin Gausman,Toronto Blue Jays,
