card_number,name,team,designations
BSDA-AGO,Paul Goldschmidt / Nolan Arenado,St. Louis Cardinals / St. Louis Cardinals,
BSDA-AJS,Juan Soto / Ronald Acuña Jr.,San Diego Padres / Atlanta Braves,
BSDA-ATJ,Fernando Tatis Jr. / Ronald Acuña Jr.,San Diego Padres / Atlanta Braves,
BSDA-BIB,Craig Biggio / Alex Bregman,Houston Astros / Houston Astros,
BSDA-BOC,Roger Clemens / Wade Boggs,Boston Red Sox / Boston Red Sox,
BSDA-BRO,Frank Robinson / Johnny Bench,Cincinnati Reds / Cincinnati Reds,
BSDA-CLP,Will Clark / Buster Posey,San Francisco Giants / San Francisco Giants,
BSDA-GBR,Lou Brock / Bob Gibson,St. Louis Cardinals / St. Louis Cardinals,
BSDA-GGJ,Vladimir Guerrero / Vladimir Guerrero Jr.,Montréal Expos / Toronto Blue Jays,
BSDA-GJB,Vladimir Guerrero Jr. / Bo Bichette,Toronto Blue Jays / Toronto Blue Jays,
BSDA-GJI,Ken Griffey Jr. / Ichiro,Seattle Mariners / Seattle Mariners,
BSDA-GJT,Mike Trout / Ken Griffey Jr.,Angels / Seattle Mariners,
BSDA-IOH,Shohei Ohtani / Ichiro,Angels / Seattle Mariners,
BSDA-JAJ,Ronald Acuña Jr. / Chipper Jones,Atlanta Braves / Atlanta Braves,
BSDA-JJU,Derek Jeter / Aaron Judge,New York Yankees / New York Yankees,
BSDA-JR,Derek Jeter / Mariano Rivera,New York Yankees / New York Yankees,
BSDA-JWJ,Bobby Witt Jr. / Bo Jackson,Kansas City Royals / Kansas City Royals,
BSDA-LVO,Joey Votto / Barry Larkin,Cincinnati Reds / Cincinnati Reds,
BSDA-MJO,Chipper Jones / Greg Maddux,Atlanta Braves / Atlanta Braves,
BSDA-MSA,Greg Maddux / Ryne Sandberg,Chicago Cubs / Chicago Cubs,
BSDA-OMA,Pedro Martinez / David Ortiz,Boston Red Sox / Boston Red Sox,
BSDA-PAL,Pete Alonso / Mike Piazza,New York Mets / New York Mets,
BSDA-PUC,Albert Pujols / Miguel Cabrera,St. Louis Cardinals / Detroit Tigers,
BSDA-RJM,Eddie Murray / Cal Ripken Jr.,Baltimore Orioles / Baltimore Orioles,
BSDA-RJO,Nolan Ryan / Randy Johnson,Houston Astros / Seattle Mariners,
BSDA-RR,Cal Ripken Jr. / Adley Rutschman,Baltimore Orioles / Baltimore Orioles,
BSDA-RRJ,Brooks Robinson / Cal Ripken Jr.,Baltimore Orioles / Baltimore Orioles,
BSDA-SCH,Bryce Harper / Mike Schmidt,Philadelphia Phillies / Philadelphia Phillies,
BSDA-THR,Luis Robert / Frank Thomas,Chicago White Sox / Chicago White Sox,
BSDA-TJM,Manny Machado / Fernando Tatis Jr.,San Diego Padres / San Diego Padres,
BSDA-TRH,Bryce Harper / Mike Trout,Philadelphia Phillies / Angels,
BSDA-TRO,Shohei Ohtani / Mike Trout,Angels / Angels,
BSDA-YAO,David Ortiz / Carl Yastrzemski,Boston Red Sox / Boston Red Sox,
BSDA-ALP,Jeremy Peña / Jose Altuve,Houston Astros / Houston Astros,
BSDA-BAB,Jeff Bagwell / Craig Biggio,Houston Astros / Houston Astros,
BSDA-BSW,Dansby Swanson / Cody Bellinger,Chicago Cubs / Chicago Cubs,
BSDA-FYE,Christian Yelich / Prince Fielder,Milwaukee Brewers / Milwaukee Brewers,
BSDA-GOC,Paul Goldschmidt / Willson Contreras,St. Louis Cardinals / St. Louis Cardinals,
BSDA-HT,Trea Turner / Bryce Harper,Philadelphia Phillies / Philadelphia Phillies,
BSDA-JMA,Pedro Martinez / Randy Johnson,Boston Red Sox / Seattle Mariners,
BSDA-MSO,Manny Machado / Juan Soto,San Diego Padres / San Diego Padres,
BSDA-RT,Jimmy Rollins / Trea Turner,Philadelphia Phillies / Philadelphia Phillies,
BSDA-RUH,Gunnar Henderson / Adley Rutschman,Baltimore Orioles / Baltimore Orioles,RC
BSDA-SB,Juan Soto / Xander Bogaerts,San Diego Padres / San Diego Padres,
BSDA-VOF,Freddie Freeman / Joey Votto,Los Angeles Dodgers / Cincinnati Reds,
BSDA-WRA,David Wright / Pete Alonso,New York Mets / New York Mets,
