card_number,name,team,designations
CA-AJ,Aaron Judge,New York Yankees,
CA-AP,Albert Pujols,St. Louis Cardinals,
CA-BG,Bob Gibson,St. Louis Cardinals,
CA-BR,Babe Ruth,New York Yankees,
CA-CK,Clayton Kershaw,Los Angeles Dodgers,
CA-CY,Carl Yastrzemski,Boston Red Sox,
CA-EB,Ernie Banks,Chicago Cubs,
CA-HA,Hank Aaron,Milwaukee Braves,
CA-JB,Johnny Bench,Cincinnati Reds,
CA-JV,Justin Verlander,Detroit Tigers,
CA-KG,Ken Griffey Jr.,Seattle Mariners,
CA-LG,Lou Gehrig,New York Yankees,
CA-MC,Miguel Cabrera,Detroit Tigers,
CA-MM,Mark McGwire,St. Louis Cardinals,
CA-MT,Mike Trout,Angels,
CA-PM,Pedro Martinez,Boston Red Sox,
CA-RC,Roger Clemens,Toronto Blue Jays,
CA-RH,Ryan Howard,Philadelphia Phillies,
CA-RJ,Randy Johnson,Arizona Diamondbacks,
CA-SC,Steve Carlton,Philadelphia Phillies,
CA-SM,Stan Musial,St. Louis Cardinals,
CA-TC,Ty Cobb,Detroit Tigers,
CA-TW,Ted Williams,Boston Red Sox,
CA-WM,Willie Mays,New York Giants,
