card_number,name,team,designations
FD-AB,Alex Bregman,Houston Astros,
FD-AJU,Aaron Judge,New York Yankees,
FD-AR,Adley Rutschman,Baltimore Orioles,RC
FD-ARI,Austin Riley,Atlanta Braves,
FD-BB,Bo Bichette,Toronto Blue Jays,
FD-BBX,Byron Buxton,Minnesota Twins,
FD-BH,Bryce Harper,Philadelphia Phillies,
FD-BW,Bobby Witt Jr.,Kansas City Royals,
FD-CC,Cade Cavalli,Washington Nationals,RC
FD-CCA,Corbin Carroll,Arizona Diamondbacks,RC
FD-CK,Clayton Kershaw,Los Angeles Dodgers,
FD-CM,Christopher Morel,Chicago Cubs,RC
FD-CY,Christian Yelich,Milwaukee Brewers,
FD-EJ,Eloy Jiménez,Chicago White Sox,
FD-FA,Francisco Álvarez,New York Mets,RC
FD-FF,Freddie Freeman,Los Angeles Dodgers,
FD-FL,Francisco Lindor,New York Mets,
FD-FT,Fernando Tatis Jr.,San Diego Padres,
FD-GC,Gerrit Cole,New York Yankees,
FD-GH,Gunnar Henderson,Baltimore Orioles,RC
FD-GST,Giancarlo Stanton,New York Yankees,
FD-HG,Hunter Greene,Cincinnati Reds,
FD-JC,Jazz Chisholm Jr.,Miami Marlins,
FD-JJ,Josh Jung,Texas Rangers,RC
FD-JR,Julio Rodríguez,Seattle Mariners,
FD-JRA,José Ramírez,Cleveland Guardians,
FD-JS,Juan Soto,San Diego Padres,
FD-JV,Joey Votto,Cincinnati Reds,
FD-Jd,Jacob deGrom,Texas Rangers,
FD-KB,Kris Bryant,Colorado Rockies,
FD-KS,Kyle Schwarber,Philadelphia Phillies,
FD-MB,Mookie Betts,Los Angeles Dodgers,
FD-MH,Michael Harris II,Atlanta Braves,RC
FD-MM,Manny Machado,San Diego Padres,
FD-MT,Mike Trout,Angels,
FD-MY,Mike Yastrzemski,San Francisco Giants,
FD-NA,Nolan Arenado,St. Louis Cardinals,
FD-OC,Oneil Cruz,Pittsburgh Pirates,
FD-PA,Pete Alonso,New York Mets,
FD-PG,Paul Goldschmidt,St. Louis Cardinals,
FD-RA,Ronald Acuña Jr.,Atlanta Braves,
FD-RD,Rafael Devers,Boston Red Sox,
FD-RG,Riley Greene,Detroit Tigers,RC
FD-SG,Sonny Gray,Minnesota Twins,
FD-SL,Shea Langeliers,Oakland Athletics,RC
FD-SO,Shohei Ohtani,Angels,
FD-TA,Tim Anderson,Chicago White Sox,
FD-TC,Triston Casas,Boston Red Sox,RC
FD-VG,Vladimir Guerrero Jr.,Toronto Blue Jays,
FD-WF,Wander Franco,Tampa Bay Rays,
