card_number,name,team,designations
88LLA-AJ,Aaron Judge,New York Yankees,
88LLA-BH,Bryce Harper,Philadelphia Phillies,
88LLA-CR,Cal Ripken Jr.,Baltimore Orioles,
88LLA-DJ,Derek Jeter,New York Yankees,
88LLA-JS,Juan Soto,Washington Nationals,
88LLA-JVO,Joey Votto,Cincinnati Reds,
88LLA-KG,Ken Griffey Jr.,Seattle Mariners,
88LLA-MC,Miguel Cabrera,Detroit Tigers,
88LLA-MT,Mike Trout,Angels,
88LLA-PA,Pete Alonso,New York Mets,
88LLA-RA,Ronald Acuña Jr.,Atlanta Braves,
88LLA-RD,Rafael Devers,Boston Red Sox,
88LLA-SO,Shohei Ohtani,Angels,
88LLA-TT,Trea Turner,Los Angeles Dodgers,
88LLA-VG,Vladimir Guerrero Jr.,Toronto Blue Jays,
