card_number,name,team,designations
SS-6,Ronald Acuña Jr.,Atlanta Braves,
SS-7,Mike Trout,Angels,
SS-8,Oneil Cruz,Pittsburgh Pirates,
SS-10,Vladimir Guerrero Jr.,Toronto Blue Jays,
SS-14,Trea Turner,Los Angeles Dodgers,
SS-15,Corbin Carroll,Arizona Diamondbacks,RC
SS-16,Daulton Varsho,Arizona Diamondbacks,
SS-17,J.T. Realmuto,Philadelphia Phillies,
SS-19,Ronald Acuña Jr.,Atlanta Braves,
SS-20,Aroldis Chapman,New York Yankees,
SS-21,Dylan Cease,Chicago White Sox,
SS-24,Garrett Mitchell,Milwaukee Brewers,RC
