card_number,name,team,designations
88AS-1,Shohei Ohtani,Angels,
88AS-2,Mike Trout,Angels,
88AS-3,Hank Aaron,Atlanta Braves,
88AS-4,Ronald Acuña Jr.,Atlanta Braves,
88AS-5,Chipper Jones,Atlanta Braves,
88AS-6,Greg Maddux,Atlanta Braves,
88AS-7,Cal Ripken Jr.,Baltimore Orioles,
88AS-8,Rafael Devers,Boston Red Sox,
88AS-9,David Ortiz,Boston Red Sox,
88AS-10,Ted Williams,Boston Red Sox,
88AS-11,Jackie Robinson,Brooklyn Dodgers,
88AS-12,Ryne Sandberg,Chicago Cubs,
88AS-13,Joey Votto,Cincinnati Reds,
88AS-14,Miguel Cabrera,Detroit Tigers,
88AS-15,Yordan Alvarez,Houston Astros,
88AS-16,Alex Bregman,Houston Astros,
88AS-17,Nolan Ryan,Houston Astros,
88AS-18,Justin Verlander,Houston Astros,
88AS-19,George Brett,Kansas City Royals,
88AS-20,Bo Jackson,Kansas City Royals,
88AS-21,Mookie Betts,Los Angeles Dodgers,
88AS-22,Freddie Freeman,Los Angeles Dodgers,
88AS-23,Clayton Kershaw,Los Angeles Dodgers,
88AS-24,Jazz Chisholm Jr.,Miami Marlins,
88AS-25,Pete Alonso,New York Mets,
88AS-26,Max Scherzer,New York Mets,
88AS-27,Lou Gehrig,New York Yankees,
88AS-28,Derek Jeter,New York Yankees,
88AS-29,Aaron Judge,New York Yankees,
88AS-30,Mariano Rivera,New York Yankees,
88AS-31,Babe Ruth,New York Yankees,
88AS-32,Rickey Henderson,Oakland Athletics,
88AS-33,Mark McGwire,Oakland Athletics,
88AS-34,Bryce Harper,Philadelphia Phillies,
88AS-35,Manny Machado,San Diego Padres,
88AS-36,Juan Soto,San Diego Padres,
88AS-37,Fernando Tatis Jr.,San Diego Padres,
88AS-38,Willie Mays,San Francisco Giants,
88AS-39,Buster Posey,San Francisco Giants,
88AS-40,Ken Griffey Jr.,Seattle Mariners,
88AS-41,Julio Rodríguez,Seattle Mariners,
88AS-42,Ichiro,Seattle Mariners,
88AS-43,Nolan Arenado,St. Louis Cardinals,
88AS-44,Paul Goldschmidt,St. Louis Cardinals,
88AS-45,Byron Buxton,Minnesota Twins,
88AS-46,José Ramírez,Cleveland Guardians,
88AS-47,Frank Thomas,Chicago White Sox,
88AS-48,Stan Musial,St. Louis Cardinals,
88AS-49,Albert Pujols,St. Louis Cardinals,
88AS-50,Vladimir Guerrero Jr.,Toronto Blue Jays,
