card_number,name,team,designations
2T88C-1,Kodai Senga,New York Mets,RC
2T88C-2,Yu Darvish,San Diego Padres,
2T88C-3,Bo Naylor,Cleveland Guardians,RC
2T88C-4,Mike Trout,Angels,
2T88C-5,Willson Contreras,St. Louis Cardinals,
2T88C-6,Seiya Suzuki,Chicago Cubs,
2T88C-7,Jeff Bagwell,Houston Astros,
2T88C-8,Jerar Encarnación,Miami Marlins,RC
2T88C-9,Kyle Tucker,Houston Astros,
2T88C-10,Kyle Schwarber,Philadelphia Phillies,
2T88C-11,Austin Riley,Atlanta Braves,
2T88C-12,Ryan Mountcastle,Baltimore Orioles,
2T88C-13,Derek Jeter,New York Yankees,
2T88C-14,Mark Vientos,New York Mets,RC
2T88C-15,Masataka Yoshida,Boston Red Sox,RC
2T88C-16,Mariano Rivera,New York Yankees,
2T88C-17,Sandy Alcantara,Miami Marlins,
2T88C-18,Gerrit Cole,New York Yankees,
2T88C-19,Corey Seager,Texas Rangers,
2T88C-20,Max Scherzer,New York Mets,
2T88C-21,Yadier Molina,St. Louis Cardinals,
2T88C-22,Luis Castillo,Seattle Mariners,
2T88C-23,Ichiro,Seattle Mariners,
2T88C-24,Andre Dawson,Chicago Cubs,
2T88C-25,Shohei Ohtani,Angels,
2T88C-26,Drew Waters,Kansas City Royals,RC
2T88C-27,Sonny Gray,Minnesota Twins,
2T88C-28,Gunnar Henderson,Baltimore Orioles,RC
2T88C-29,Hunter Brown,Houston Astros,RC
2T88C-30,Julio Urías,Los Angeles Dodgers,
2T88C-31,Randy Arozarena,Tampa Bay Rays,
2T88C-32,Max Muncy,Los Angeles Dodgers,
2T88C-33,Ozzie Albies,Atlanta Braves,
2T88C-34,Jonathan India,Cincinnati Reds,
2T88C-35,Greg Maddux,Atlanta Braves,
2T88C-36,Logan O'Hoppe,Angels,RC
2T88C-37,Jordan Díaz,Oakland Athletics,RC
2T88C-38,Jeremy Peña,Houston Astros,
2T88C-39,Nestor Cortes,New York Yankees,
2T88C-40,Simeon Woods Richardson,Minnesota Twins,RC
2T88C-41,Eddie Murray,Baltimore Orioles,
2T88C-42,Mike Yastrzemski,San Francisco Giants,
2T88C-43,Shane McClanahan,Tampa Bay Rays,
2T88C-44,Dylan Cease,Chicago White Sox,
2T88C-45,Garrett Mitchell,Milwaukee Brewers,RC
2T88C-46,Joe Musgrove,San Diego Padres,
2T88C-47,Eloy Jiménez,Chicago White Sox,
2T88C-48,Francisco Álvarez,New York Mets,RC
2T88C-49,Ken Waldichuk,Oakland Athletics,RC
2T88C-50,Tony Gonsolin,Los Angeles Dodgers,
2T88C-51,Xander Bogaerts,San Diego Padres,
2T88C-52,Jose Atluve,Houston Astros,
2T88C-53,Kirby Puckett,Minnesota Twins,
2T88C-54,Ryan Kreidler,Detroit Tigers,RC
2T88C-55,Oneil Cruz,Pittsburgh Pirates,
2T88C-56,David Ortiz,Boston Red Sox,
2T88C-57,Nolan Ryan,Texas Rangers,
2T88C-58,Mike Piazza,New York Mets,
2T88C-59,Triston Casas,Boston Red Sox,RC
2T88C-60,Aaron Nola,Philadelphia Phillies,
2T88C-61,Dale Murphy,Atlanta Braves,
2T88C-62,Oswald Peraza,New York Yankees,RC
2T88C-63,Ezequiel Tovar,Colorado Rockies,RC
2T88C-64,David Villar,San Francisco Giants,
2T88C-65,George Springer,Toronto Blue Jays,
2T88C-66,Hunter Greene,Cincinnati Reds,
2T88C-67,Michael Toglia,Colorado Rockies,RC
2T88C-68,Triston McKenzie,Cleveland Guardians,
2T88C-69,Jonathan Aranda,Tampa Bay Rays,RC
2T88C-70,David Wright,New York Mets,
2T88C-71,Matt Wallner,Minnesota Twins,RC
2T88C-72,Eguy Rosario,San Diego Padres,RC
2T88C-73,Will Smith,Los Angeles Dodgers,
2T88C-74,Michael Massey,Kansas City Royals,RC
2T88C-75,Michael Grove,Los Angeles Dodgers,RC
2T88C-76,Albert Pujols,St. Louis Cardinals,
2T88C-77,Carlos Rodón,New York Yankees,
2T88C-78,Alek Manoah,Toronto Blue Jays,
2T88C-79,Adrian Beltre,Texas Rangers,
2T88C-80,Alec Burleson,St. Louis Cardinals,RC
2T88C-81,Kerry Carpenter,Detroit Tigers,RC
2T88C-82,Spencer Steer,Cincinnati Reds,RC
2T88C-83,David Hensley,Houston Astros,RC
2T88C-84,Jordan Groshans,Miami Marlins,RC
2T88C-85,Paul Molitor,Milwaukee Brewers,
2T88C-86,Mark Appel,Philadelphia Phillies,RC
2T88C-87,Corbin Burnes,Milwaukee Brewers,
2T88C-88,Josh Jung,Texas Rangers,RC
2T88C-89,Trea Turner,Philadelphia Phillies,
2T88C-90,Esteury Ruiz,Milwaukee Brewers,RC
2T88C-91,Iván Herrera,St. Louis Cardinals,RC
2T88C-92,Logan Webb,San Francisco Giants,
2T88C-93,Cade Cavalli,Washington Nationals,RC
2T88C-94,Will Brennan,Cleveland Guardians,RC
2T88C-95,Hank Aaron,Milwaukee Braves,
2T88C-96,Dansby Swanson,Chicago Cubs,
2T88C-97,Roberto Clemente,Pittsburgh Pirates,
2T88C-98,Manny Machado,San Diego Padres,
2T88C-99,Lenyn Sosa,Chicago White Sox,RC
2T88C-100,Roger Clemens,Boston Red Sox,
