card_number,name,team,designations
AA-1,Nolan Ryan,Texas Rangers,
AA-2,Bob Gibson,St. Louis Cardinals,
AA-3,Greg Maddux,Atlanta Braves,
AA-4,Randy Johnson,Arizona Diamondbacks,
AA-5,Pedro Martinez,Boston Red Sox,
AA-6,Justin Verlander,Houston Astros,
AA-7,Clayton Kershaw,Los Angeles Dodgers,
AA-8,Jacob deGrom,New York Mets,
AA-9,Gerrit Cole,New York Yankees,
AA-10,Corbin Burnes,Milwaukee Brewers,
AA-11,Shohei Ohtani,Angels,
AA-12,Shane McClanahan,Tampa Bay Rays,
AA-13,Carlos Rodon,San Francisco Giants,
AA-14,Sonny Gray,Minnesota Twins,
AA-15,Shane Bieber,Cleveland Guardians,
AA-16,Aaron Nola,Philadelphia Phillies,
AA-17,Sandy Alcantara,Miami Marlins,
AA-18,Joe Musgrove,San Diego Padres,
AA-19,Alek Manoah,Toronto Blue Jays,
AA-20,Max Fried,Atlanta Braves,
AA-21,Stephen Strasburg,Washington Nationals,
AA-22,Dylan Cease,Chicago White Sox,
AA-23,Luis Castillo,Seattle Mariners,
AA-24,Julio Urías,Los Angeles Dodgers,
AA-25,Max Scherzer,New York Mets,
AA-26,Tom Glavine,Atlanta Braves,
AA-27,Spencer Strider,Atlanta Braves,
AA-28,Mike Mussina,Baltimore Orioles,
AA-29,Marcus Stroman,Chicago Cubs,
AA-30,Hunter Greene,Cincinnati Reds,
AA-31,Triston McKenzie,Cleveland Guardians,
AA-32,Nolan Ryan,Houston Astros,
AA-33,Tony Gonsolin,Los Angeles Dodgers,
AA-34,Sonny Gray,Minnesota Twins,
AA-35,Christy Mathewson,New York Giants,
AA-36,Tom Seaver,New York Mets,
AA-37,Nestor Cortes,New York Yankees,
AA-38,CC Sabathia,New York Yankees,
AA-39,Steve Carlton,Philadelphia Phillies,
AA-40,Zack Wheeler,Philadelphia Phillies,
AA-41,Yu Darvish,San Diego Padres,
AA-42,Blake Snell,San Diego Padres,
AA-43,Logan Webb,San Francisco Giants,
AA-44,Félix Hernández,Seattle Mariners,
AA-45,Justin Verlander,New York Mets,
AA-46,Kodai Senga,New York Mets,RC
AA-47,Randy Johnson,Seattle Mariners,
AA-48,Satchel Paige,St. Louis Browns,
AA-49,Jacob deGrom,Texas Rangers,
AA-50,Kevin Gausman,Toronto Blue Jays,
