card_number,name,team,designations
SMLBC-1,Nolan Arenado,St. Louis Cardinals,
SMLBC-2,Mike Trout,Angels,
SMLBC-3,Ronald Acuña Jr.,Atlanta Braves,
SMLBC-4,Rafael Devers,Boston Red Sox,
SMLBC-5,Javier Báez,Detroit Tigers,
SMLBC-6,Luis Robert,Chicago White Sox,
SMLBC-7,José Ramírez,Cleveland Guardians,
SMLBC-8,Alex Bregman,Houston Astros,
SMLBC-9,Mookie Betts,Los Angeles Dodgers,
SMLBC-10,Jazz Chisholm Jr.,Miami Marlins,
SMLBC-11,Christian Yelich,Milwaukee Brewers,
SMLBC-12,Byron Buxton,Minnesota Twins,
SMLBC-13,Aaron Judge,New York Yankees,
SMLBC-14,Bryce Harper,Philadelphia Phillies,
SMLBC-15,Fernando Tatis Jr.,San Diego Padres,
SMLBC-16,Julio Rodriguez,Seattle Mariners,
SMLBC-17,Bobby Witt Jr.,Kansas City Royals,
SMLBC-18,Wander Franco,Tampa Bay Rays,
SMLBC-19,Vladimir Guerrero Jr.,Toronto Blue Jays,
SMLBC-20,Juan Soto,San Diego Padres,
SMLBC-21,Shohei Ohtani,Angels,
SMLBC-22,Adley Rutschman,Baltimore Orioles,RC
SMLBC-23,Nolan Gorman,St. Louis Cardinals,RC
SMLBC-24,Pete Alonso,New York Mets,
SMLBC-25,Bo Bichette,Toronto Blue Jays,
SMLBC-26,Riley Greene,Detroit Tigers,RC
SMLBC-27,Freddie Freeman,Los Angeles Dodgers,
SMLBC-28,Francisco Lindor,New York Mets,
SMLBC-29,Ozzie Albies,Atlanta Braves,
SMLBC-30,Gerrit Cole,New York Yankees,
SMLBC-31,Clayton Kershaw,Los Angeles Dodgers,
SMLBC-32,Paul Goldschmidt,St. Louis Cardinals,
SMLBC-33,Shohei Ohtani,Angels,
SMLBC-34,Corbin Carroll,Arizona Diamondbacks,RC
SMLBC-35,Michael Harris II,Atlanta Braves,RC
SMLBC-36,Austin Riley,Atlanta Braves,
SMLBC-37,Gunnar Henderson,Baltimore Orioles,RC
SMLBC-38,Xander Bogaerts,San Diego Padres,
SMLBC-39,Triston Casas,Boston Red Sox,RC
SMLBC-40,Christopher Morel,Chicago Cubs,RC
SMLBC-41,Eloy Jiménez,Chicago White Sox,
SMLBC-42,Joey Votto,Cincinnati Reds,
SMLBC-43,Óscar González,Cleveland Guardians,RC
SMLBC-44,Miguel Cabrera,Detroit Tigers,
SMLBC-45,Yordan Alvarez,Houston Astros,
SMLBC-46,Jose Altuve,Houston Astros,
SMLBC-47,Trea Turner,Philadelphia Phillies,
SMLBC-48,Carlos Correa,Minnesota Twins,
SMLBC-49,Jacob deGrom,Texas Rangers,
SMLBC-50,Francisco Álvarez,New York Mets,RC
SMLBC-51,Giancarlo Stanton,New York Yankees,
SMLBC-52,Anthony Rizzo,New York Yankees,
SMLBC-53,Kyle Schwarber,Philadelphia Phillies,
SMLBC-54,Alek Manoah,Toronto Blue Jays,
SMLBC-55,Manny Machado,San Diego Padres,
SMLBC-56,Josh Jung,Texas Rangers,RC
SMLBC-57,Gabriel Moreno,Arizona Diamondbacks,RC
SMLBC-58,Kris Bryant,Colorado Rockies,
SMLBC-59,Salvador Perez,Kansas City Royals,
SMLBC-60,Masataka Yoshida,Boston Red Sox,RC
