card_number,name,team,designations
FS-1,Mike Trout,Angels,
FS-2,Bryce Harper,Philadelphia Phillies,
FS-3,Aaron Judge,New York Yankees,
FS-4,Mookie Betts,Los Angeles Dodgers,
FS-5,Freddie Freeman,Los Angeles Dodgers,
FS-6,Dansby Swanson,Chicago Cubs,
FS-7,Bo Bichette,Toronto Blue Jays,
FS-8,Michael Harris II,Atlanta Braves,RC
FS-9,Brandon Crawford,San Francisco Giants,
FS-10,Nolan Arenado,St. Louis Cardinals,
FS-11,Anthony Rizzo,New York Yankees,
FS-12,Paul Goldschmidt,St. Louis Cardinals,
FS-13,Clayton Kershaw,Los Angeles Dodgers,
FS-14,Andrew McCutchen,Pittsburgh Pirates,
FS-15,Byron Buxton,Minnesota Twins,
FS-16,Bobby Witt Jr.,Kansas City Royals,
FS-17,Justin Verlander,New York Mets,
FS-18,Alex Bregman,Houston Astros,
FS-19,Adley Rutschman,Baltimore Orioles,RC
FS-20,Sonny Gray,Minnesota Twins,
