card_number,name,team,designations
HL-1,Bryce Harper,Philadelphia Phillies,
HL-2,Mike Trout,Angels,
HL-3,Juan Soto,San Diego Padres,
HL-4,Vladimir Guerrero Jr.,Toronto Blue Jays,
HL-5,Julio Rodriguez,Seattle Mariners,
HL-6,Yordan Alvarez,Houston Astros,
HL-7,José Ramírez,Cleveland Guardians,
HL-8,Paul Goldschmidt,St. Louis Cardinals,
HL-9,Rafael Devers,Boston Red Sox,
HL-10,Pete Alonso,New York Mets,
HL-11,Mookie Betts,Los Angeles Dodgers,
HL-12,Byron Buxton,Minnesota Twins,
HL-13,Ronald Acuña Jr.,Atlanta Braves,
HL-14,Giancarlo Stanton,New York Yankees,
HL-15,Luis Robert,Chicago White Sox,
HL-16,Joey Votto,Cincinnati Reds,
HL-17,Willie Mays,San Francisco Giants,
HL-18,Mark McGwire,Oakland Athletics,
HL-19,Babe Ruth,New York Yankees,
HL-20,Miguel Cabrera,Detroit Tigers,
HL-21,Manny Machado,San Diego Padres,
HL-22,Freddie Freeman,Los Angeles Dodgers,
HL-23,Aaron Judge,New York Yankees,
HL-24,Shohei Ohtani,Angels,
HL-25,Fernando Tatis Jr.,San Diego Padres,
HL-26,Nolan Arenado,St. Louis Cardinals,
HL-27,Kyle Schwarber,Philadelphia Phillies,
HL-28,Austin Riley,Atlanta Braves,
HL-29,Anthony Rizzo,New York Yankees,
HL-30,Jose Altuve,Houston Astros,
HL-31,Bo Bichette,Toronto Blue Jays,
HL-32,Francisco Lindor,New York Mets,
HL-33,Alex Bregman,Houston Astros,
HL-34,Carlos Correa,Minnesota Twins,
HL-35,Adley Rutschman,Baltimore Orioles,RC
HL-36,Gunnar Henderson,Baltimore Orioles,RC
HL-37,Hank Aaron,Atlanta Braves,
HL-38,Ken Griffey Jr.,Seattle Mariners,
HL-39,David Ortiz,Boston Red Sox,
HL-40,Albert Pujols,St. Louis Cardinals,
