card_number,name,team,designations
LG-1,Derek Jeter,New York Yankees,
LG-2,Cal Ripken Jr.,Baltimore Orioles,
LG-3,Nolan Ryan,Houston Astros,
LG-4,Ken Griffey Jr.,Seattle Mariners,
LG-5,Jackie Robinson,Brooklyn Dodgers,
LG-6,Willie Mays,San Francisco Giants,
LG-7,Roberto Clemente,Pittsburgh Pirates,
LG-8,Hank Aaron,Atlanta Braves,
LG-9,Babe Ruth,New York Yankees,
LG-10,Ted Williams,Boston Red Sox,
LG-11,Lou Gehrig,New York Yankees,
LG-12,Rickey Henderson,Oakland Athletics,
LG-13,Mariano Rivera,New York Yankees,
LG-14,Tony Gwynn,San Diego Padres,
LG-15,Don Mattingly,New York Yankees,
LG-16,George Brett,Kansas City Royals,
LG-17,Chipper Jones,Atlanta Braves,
LG-18,David Ortiz,Boston Red Sox,
LG-19,Greg Maddux,Atlanta Braves,
LG-20,Ryne Sandberg,Chicago Cubs,
LG-21,Bob Gibson,St. Louis Cardinals,
LG-22,Ozzie Smith,St. Louis Cardinals,
LG-23,Johnny Bench,Cincinnati Reds,
LG-24,Frank Thomas,Chicago White Sox,
LG-25,Ichiro,Seattle Mariners,
LG-26,Stan Musial,St. Louis Cardinals,
LG-27,Ernie Banks,Chicago Cubs,
LG-28,Randy Johnson,Arizona Diamondbacks,
LG-29,Pedro Martinez,Boston Red Sox,
LG-30,Albert Pujols,St. Louis Cardinals,
