card_number,name,team,designations
12P-1,Tom Glavine / Greg Maddux,Atlanta Braves / Atlanta Braves,
12P-2,Brandon Woodruff / Corbin Burnes,Milwaukee Brewers / Milwaukee Brewers,
12P-3,Julio Urías / Walker Buehler,Los Angeles Dodgers / Los Angeles Dodgers,
12P-4,Andy Pettitte / CC Sabathia,New York Yankees / New York Yankees,
12P-5,Adam Wainwright / Jack Flaherty,St. Louis Cardinals / St. Louis Cardinals,
12P-6,Andy Pettitte / Roger Clemens,New York Yankees / New York Yankees,
12P-7,Shane McClanahan / Shane Baz,Tampa Bay Rays / Tampa Bay Rays,
12P-8,Gerrit Cole / Luis Severino,New York Yankees / New York Yankees,
12P-9,Kevin Gausman / Alek Manoah,Toronto Blue Jays / Toronto Blue Jays,
12P-10,Zack Wheeler / Aaron Nola,Philadelphia Phillies / Philadelphia Phillies,
12P-11,Carlos Rodon / Logan Webb,San Francisco Giants / San Francisco Giants,
12P-12,Joe Ryan / Sonny Gray,Minnesota Twins / Minnesota Twins,
12P-13,Shane Bieber / Triston McKenzie,Cleveland Guardians / Cleveland Guardians,
12P-14,Joe Musgrove / Yu Darvish,San Diego Padres / San Diego Padres,
12P-15,Jacob deGrom / Max Scherzer,New York Mets / New York Mets,
12P-16,Stephen Strasburg / Max Scherzer,Washington Nationals / Washington Nationals,
12P-17,Justin Verlander / Max Scherzer,Detroit Tigers / Detroit Tigers,
12P-18,Gerrit Cole / Justin Verlander,Houston Astros / Houston Astros,
12P-19,Zack Greinke / Clayton Kershaw,Los Angeles Dodgers / Los Angeles Dodgers,
12P-20,John Smoltz / Greg Maddux,Atlanta Braves / Atlanta Braves,
12P-21,Roger Clemens / Mike Mussina,New York Yankees / New York Yankees,
12P-22,Bob Gibson / Steve Carlton,St. Louis Cardinals / St. Louis Cardinals,
12P-23,Reid Detmers / Shohei Ohtani,Angels / Angels,
12P-24,Robbie Ray / Luis Castillo,Seattle Mariners / Seattle Mariners,
12P-25,Spencer Strider / Max Fried,Atlanta Braves / Atlanta Braves,
