card_number,name,team,designations
CCA-CB,Corbin Burnes,Milwaukee Brewers,
CCA-CY,Christian Yelich,Milwaukee Brewers,
CCA-WB,Walker Buehler,Los Angeles Dodgers,
CCA-MM,Manny Machado,San Diego Padres,
CCA-EJ,Eloy Jiménez,Chicago White Sox,
CCA-JM,Joe Musgrove,San Diego Padres,
CCA-AT,Alek Thomas,Arizona Diamondbacks,
CCA-CM,Christopher Morel,Chicago Cubs,
CCA-MY,Mike Yastrzemski,San Francisco Giants,
CCA-BC,Brandon Crawford,San Francisco Giants,
CCA-SP,Salvador Perez,Kansas City Royals,
CCA-XB,Xander Bogaerts,Boston Red Sox,
CCA-SO,Shohei Ohtani,Angels,
CCA-BW,Bobby Witt Jr.,Kansas City Royals,
CCA-JS,Juan Soto,San Diego Padres,
CCA-YA,Yordan Alvarez,Houston Astros,
CCA-JA,Jose Altuve,Houston Astros,
CCA-AB,Alex Bregman,Houston Astros,
CCA-MT,Mike Trout,Angels,
