card_number,name,team,designations
CC-AB,Alex Bregman,Houston Astros,
CC-ATH,Alek Thomas,Arizona Diamondbacks,
CC-BC,Brandon Crawford,San Francisco Giants,
CC-BR,Brendan Rodgers,Colorado Rockies,
CC-BW,Bobby Witt Jr.,Kansas City Royals,
CC-CA,CJ Abrams,Washington Nationals,
CC-CB,Corbin Burnes,Milwaukee Brewers,
CC-CM,Christopher Morel,Chicago Cubs,RC
CC-CY,Christian Yelich,Milwaukee Brewers,
CC-EJ,Eloy Jiménez,Chicago White Sox,
CC-FF,Freddie Freeman,Los Angeles Dodgers,
CC-JA,Jose Altuve,Houston Astros,
CC-JAB,Jose Abreu,Chicago White Sox,
CC-JC,Jazz Chisholm Jr.,Miami Marlins,
CC-JMU,Joe Musgrove,San Diego Padres,
CC-JS,Juan Soto,San Diego Padres,
CC-LR,Luis Robert,Chicago White Sox,
CC-MB,Mookie Betts,Los Angeles Dodgers,
CC-MM,Manny Machado,San Diego Padres,
CC-MT,Mike Trout,Angels,
CC-MY,Mike Yastrzemski,San Francisco Giants,
CC-RD,Rafael Devers,Boston Red Sox,
CC-SA,Sandy Alcantara,Miami Marlins,
CC-SO,Shohei Ohtani,Angels,
CC-SP,Salvador Perez,Kansas City Royals,
CC-SS,Seiya Suzuki,Chicago Cubs,
CC-WA,Willy Adames,Milwaukee Brewers,
CC-WB,Walker Buehler,Los Angeles Dodgers,
CC-XB,Xander Bogaerts,Boston Red Sox,
CC-YA,Yordan Alvarez,Houston Astros,
