card_number,name,team,designations
ITN-AB,Andrew Benintendi,Kansas City Royals,
ITN-AG,Andres Gimenez,Cleveland Guardians,
ITN-AJ,Aaron Judge,New York Yankees,
ITN-AK,Alejandro Kirk,Toronto Blue Jays,
ITN-AM,Alek Manoah,Toronto Blue Jays,
ITN-BB,Byron Buxton,Minnesota Twins,
ITN-CB,Corbin Burnes,Milwaukee Brewers,
ITN-CC,C.J. Cron,Colorado Rockies,
ITN-DS,Dansby Swanson,Atlanta Braves,
ITN-GC,Gerrit Cole,New York Yankees,
ITN-GST,Giancarlo Stanton,New York Yankees,
ITN-IH,Ian Happ,Chicago Cubs,
ITN-JC,Jazz Chisholm Jr.,Miami Marlins,
ITN-JM,Joe Musgrove,San Diego Padres,
ITN-JMC,Jeff McNeil,New York Mets,
ITN-JP,Joc Pederson,San Francisco Giants,
ITN-JRA,José Ramírez,Cleveland Guardians,
ITN-JS,Juan Soto,Washington Nationals,
ITN-JT,Jose Trevino,New York Yankees,
ITN-JV,Justin Verlander,Houston Astros,
ITN-KT,Kyle Tucker,Houston Astros,
ITN-LA,Luis Arraez,Minnesota Twins,
ITN-LC,Luis Castillo,Cincinnati Reds,
ITN-MC,Miguel Cabrera,Detroit Tigers,
ITN-MF,Max Fried,Atlanta Braves,
ITN-MM,Manny Machado,San Diego Padres,
ITN-MT,Mike Trout,Angels,
ITN-NC,Nestor Cortes,New York Yankees,
ITN-PA,Pete Alonso,New York Mets,
ITN-PG,Paul Goldschmidt,St. Louis Cardinals,
ITN-RA,Ronald Acuña Jr.,Atlanta Braves,
ITN-RD,Rafael Devers,Boston Red Sox,
ITN-SA,Sandy Alcantara,Miami Marlins,
ITN-SM,Shane McClanahan,Tampa Bay Rays,
ITN-SOT,Shohei Ohtani,Angels,
ITN-TA,Tim Anderson,Chicago White Sox,
ITN-TG,Tony Gonsolin,Los Angeles Dodgers,
ITN-Td,Travis d'Arnaud,Atlanta Braves,
ITN-VG,Vladimir Guerrero Jr.,Toronto Blue Jays,
ITN-WC,William Contreras,Atlanta Braves,
ITN-WCO,Willson Contreras,Chicago Cubs,
ITN-XB,Xander Bogaerts,Boston Red Sox,
