card_number,name,team,designations
MLMA-AJ,Aaron Judge,New York Yankees,
MLMA-AN,Aaron Nola,Philadelphia Phillies,
MLMA-AR,Anthony Rizzo,New York Yankees,
MLMA-ARI,Austin Riley,Atlanta Braves,
MLMA-ARU,Adley Rutschman,Baltimore Orioles,RC
MLMA-BB,Byron Buxton,Minnesota Twins,
MLMA-BH,Bryce Harper,Philadelphia Phillies,
MLMA-BL,Barry Larkin,Cincinnati Reds,
MLMA-CBE,Cody Bellinger,Los Angeles Dodgers,
MLMA-CCS,CC Sabathia,New York Yankees,
MLMA-CM,Christopher Morel,Chicago Cubs,RC
MLMA-CY,Christian Yelich,Milwaukee Brewers,
MLMA-DP,Dustin Pedroia,Boston Red Sox,
MLMA-DW,David Wright,New York Mets,
MLMA-EJ,Eloy Jiménez,Chicago White Sox,
MLMA-FT,Fernando Tatis Jr.,San Diego Padres,
MLMA-FTH,Frank Thomas,Chicago White Sox,
MLMA-GS,George Springer,Toronto Blue Jays,
MLMA-JA,Jose Altuve,Houston Astros,
MLMA-JD,Jeter Downs,Boston Red Sox,RC
MLMA-JF,Jack Flaherty,St. Louis Cardinals,
MLMA-JM,Joe Mauer,Minnesota Twins,
MLMA-JR,Julio Rodriguez,Seattle Mariners,
MLMA-JSM,John Smoltz,Atlanta Braves,
MLMA-JSO,Juan Soto,San Diego Padres,
MLMA-JU,Julio Urias,Los Angeles Dodgers,
MLMA-JV,Joey Votto,Cincinnati Reds,
MLMA-KH,Ke'Bryan Hayes,Pittsburgh Pirates,
MLMA-KT,Kyle Tucker,Houston Astros,
MLMA-MC,Matt Chapman,Toronto Blue Jays,
MLMA-MCA,Miguel Cabrera,Detroit Tigers,
MLMA-MMY,Max Muncy,Los Angeles Dodgers,
MLMA-MT,Mike Trout,Angels,
MLMA-PA,Pete Alonso,New York Mets,
MLMA-PG,Paul Goldschmidt,St. Louis Cardinals,
MLMA-RA,Randy Arozarena,Tampa Bay Rays,
MLMA-RAJ,Ronald Acuña Jr.,Atlanta Braves,
MLMA-RD,Rafael Devers,Boston Red Sox,
MLMA-RG,Riley Greene,Detroit Tigers,RC
MLMA-SB,Shane Bieber,Cleveland Guardians,
MLMA-SO,Shohei Ohtani,Angels,
MLMA-TG,Tom Glavine,Atlanta Braves,
MLMA-VG,Vladimir Guerrero Jr.,Toronto Blue Jays,
MLMA-WC,Willson Contreras,Chicago Cubs,
MLMA-XB,Xander Bogaerts,Boston Red Sox,
MLMA-YA,Yordan Alvarez,Houston Astros,
