card_number,name,team,designations
MLMA-ABR,Alex Bregman,Houston Astros,
MLMA-AN,Aaron Nola,Philadelphia Phillies,
MLMA-AR,Adley Rutschman,Baltimore Orioles,RC
MLMA-BB,Brayan Bello,Boston Red Sox,RC
MLMA-BW,Bobby Witt Jr.,Kansas City Royals,
MLMA-CCA,Corbin Carroll,Arizona Diamondbacks,RC
MLMA-CM,Christopher Morel,Chicago Cubs,RC
MLMA-DH,DL Hall,Baltimore Orioles,RC
MLMA-DO,David Ortiz,Boston Red Sox,
MLMA-EJ,Eloy Jiménez,Chicago White Sox,
MLMA-GMO,Gabriel Moreno,Arizona Diamondbacks,RC
MLMA-GS,George Springer,Toronto Blue Jays,
MLMA-HG,Hunter Greene,Cincinnati Reds,
MLMA-JA,Jose Altuve,Houston Astros,
MLMA-JJ,Josh Jung,Texas Rangers,RC
MLMA-JP,Jeremy Peña,Houston Astros,
MLMA-JRAM,José Ramírez,Cleveland Guardians,
MLMA-JV,Joey Votto,Cincinnati Reds,
MLMA-MM,Manny Machado,San Diego Padres,
MLMA-NC,Nestor Cortes,New York Yankees,
MLMA-OP,Oswald Peraza,New York Yankees,RC
MLMA-PA,Pete Alonso,New York Mets,
MLMA-RA,Ronald Acuña Jr.,Atlanta Braves,
MLMA-RD,Rafael Devers,Boston Red Sox,
MLMA-RG,Riley Greene,Detroit Tigers,RC
MLMA-RM,Ryan Mountcastle,Baltimore Orioles,
MLMA-SK,Steven Kwan,Cleveland Guardians,
MLMA-SL,Shea Langeliers,Oakland Athletics,RC
MLMA-SP,Salvador Perez,Kansas City Royals,
MLMA-TC,Triston Casas,Boston Red Sox,RC
MLMA-TT,Trea Turner,Philadelphia Phillies,
MLMA-VG,Vaughn Grissom,Atlanta Braves,RC
MLMA-VGJ,Vladimir Guerrero Jr.,Toronto Blue Jays,
