card_number,name,team,designations
PPA-FT,Fernando Tatis Jr.,San Diego Padres,
PPA-PA,Pete Alonso,New York Mets,
PPA-JR,Julio Rodriguez,Seattle Mariners,
PPA-AJ,Aaron Judge,New York Yankees,
PPA-VG,Vladimir Guerrero Jr.,Toronto Blue Jays,
PPA-BH,Bryce Harper,Philadelphia Phillies,
PPA-JS,Juan Soto,San Diego Padres,
PPA-CM,Christopher Morel,Chicago Cubs,
PPA-PG,Paul Goldschmidt,St. Louis Cardinals,
PPA-NG,Nolan Gorman,St. Louis Cardinals,
PPA-RA,Ronald Acuña Jr.,Atlanta Braves,
PPA-AR,Adley Rutschman,Baltimore Orioles,
PPA-SO,Shohei Ohtani,Angels,
PPA-AR,Austin Riley,Atlanta Braves,
PPA-AB,Alex Bregman,Houston Astros,
PPA-TA,Tim Anderson,Chicago White Sox,
PPA-YA,Yordan Alvarez,Houston Astros,
PPA-JA,Jose Altuve,Houston Astros,
PPA-MT,Mike Trout,Angels,
