card_number,name,team,designations
POTP-AB,Alex Bregman,Houston Astros,
POTP-AJ,Aaron Judge,New York Yankees,
POTP-AR,Adley Rutschman,Baltimore Orioles,RC
POTP-ARI,Austin Riley,Atlanta Braves,
POTP-BB,Bo Bichette,Toronto Blue Jays,
POTP-BH,Bryce Harper,Philadelphia Phillies,
POTP-CK,Clayton Kershaw,Los Angeles Dodgers,
POTP-CM,Christopher Morel,Chicago Cubs,RC
POTP-FF,Freddie Freeman,Los Angeles Dodgers,
POTP-FL,Francisco Lindor,New York Mets,
POTP-FT,Fernando Tatis Jr.,San Diego Padres,
POTP-GC,Gerrit Cole,New York Yankees,
POTP-JA,Jose Altuve,Houston Astros,
POTP-JR,Julio Rodriguez,Seattle Mariners,
POTP-JS,Juan Soto,San Diego Padres,
POTP-Jd,Jacob deGrom,New York Mets,
POTP-LR,Luis Robert,Chicago White Sox,
POTP-MB,Mookie Betts,Los Angeles Dodgers,
POTP-MM,Manny Machado,San Diego Padres,
POTP-MT,Mike Trout,Angels,
POTP-NA,Nolan Arenado,St. Louis Cardinals,
POTP-NG,Nolan Gorman,St. Louis Cardinals,RC
POTP-PA,Pete Alonso,New York Mets,
POTP-PG,Paul Goldschmidt,St. Louis Cardinals,
POTP-RA,Ronald Acuña Jr.,Atlanta Braves,
POTP-SO,Shohei Ohtani,Angels,
POTP-SS,Seiya Suzuki,Chicago Cubs,
POTP-TA,Tim Anderson,Chicago White Sox,
POTP-VG,Vladimir Guerrero Jr.,Toronto Blue Jays,
POTP-YA,Yordan Alvarez,Houston Astros,
