card_number,name,team,designations
TLP-AB,Alex Bregman,Houston Astros,
TLP-AJ,Aaron Judge,New York Yankees,
TLP-AR,Adley Rutschman,Baltimore Orioles,RC
TLP-ARI,Austin Riley,Atlanta Braves,
TLP-BB,Bo Bichette,Toronto Blue Jays,
TLP-BBX,Byron Buxton,Minnesota Twins,
TLP-BC,Brandon Crawford,San Francisco Giants,
TLP-BH,Bryce Harper,Philadelphia Phillies,
TLP-BR,Brendan Rodgers,Colorado Rockies,
TLP-BW,Bobby Witt Jr.,Kansas City Royals,
TLP-CJA,CJ Abrams,Washington Nationals,
TLP-CM,Christopher Morel,Chicago Cubs,RC
TLP-CS,Corey Seager,Texas Rangers,
TLP-CY,Christian Yelich,Milwaukee Brewers,
TLP-FF,Freddie Freeman,Los Angeles Dodgers,
TLP-FL,Francisco Lindor,New York Mets,
TLP-FT,Fernando Tatis Jr.,San Diego Padres,
TLP-GS,Giancarlo Stanton,New York Yankees,
TLP-JA,Jose Altuve,Houston Astros,
TLP-JAB,Jose Abreu,Chicago White Sox,
TLP-JB,Javier Baez,Detroit Tigers,
TLP-JC,Jazz Chisholm Jr.,Miami Marlins,
TLP-JI,Jonathan India,Cincinnati Reds,
TLP-JR,Julio Rodriguez,Seattle Mariners,
TLP-JRA,José Ramírez,Cleveland Guardians,
TLP-JS,Juan Soto,San Diego Padres,
TLP-JV,Joey Votto,Cincinnati Reds,
TLP-KM,Ketel Marte,Arizona Diamondbacks,
TLP-LR,Luis Robert,Chicago White Sox,
TLP-MB,Mookie Betts,Los Angeles Dodgers,
TLP-MC,Miguel Cabrera,Detroit Tigers,
TLP-MM,Manny Machado,San Diego Padres,
TLP-MT,Mike Trout,Angels,
TLP-NA,Nolan Arenado,St. Louis Cardinals,
TLP-NG,Nolan Gorman,St. Louis Cardinals,RC
TLP-OC,Oneil Cruz,Pittsburgh Pirates,
TLP-PA,Pete Alonso,New York Mets,
TLP-PG,Paul Goldschmidt,St. Louis Cardinals,
TLP-RAJ,Ronald Acuña Jr.,Atlanta Braves,
TLP-RD,Rafael Devers,Boston Red Sox,
TLP-RG,Riley Greene,Detroit Tigers,RC
TLP-RH,Rhys Hoskins,Philadelphia Phillies,
TLP-SHL,Shea Langeliers,Oakland Athletics,RC
TLP-SO,Shohei Ohtani,Angels,
TLP-SP,Salvador Perez,Kansas City Royals,
TLP-SS,Seiya Suzuki,Chicago Cubs,
TLP-TT,Trea Turner,Los Angeles Dodgers,
TLP-VG,Vladimir Guerrero Jr.,Toronto Blue Jays,
TLP-WF,Wander Franco,Tampa Bay Rays,
TLP-YA,Yordan Alvarez,Houston Astros,
