card_number,name,team,designations
17,Shohei Ohtani,Angels,
215,Wander Franco,Tampa Bay Rays,
27,Mike Trout,Angels,
11,Rafael Devers,Boston Red Sox,
330,Julio Rodriguez,Seattle Mariners,
50,Mookie Betts,Los Angeles Dodgers,
25,Byron Buxton,Minnesota Twins,
62,Aaron Judge,New York Yankees,
23,Fernando Tatis Jr.,San Diego Padres,
300,Vladimir Guerrero Jr.,Toronto Blue Jays,
250,Adley Rutschman,Baltimore Orioles,
16,Nolan Gorman,St. Louis Cardinals,
31,Riley Greene,Detroit Tigers,
100,Paul Goldschmidt,St. Louis Cardinals,
200,Freddie Freeman,Los Angeles Dodgers,
5,Albert Pujols,St. Louis Cardinals,
22,Clayton Kershaw,Los Angeles Dodgers,
