card_number,name,team,designations
89BA2-AA,Andrew Abbott,Cincinnati Reds,RC
89BA2-AH,Austin Hays,Baltimore Orioles,
89BA2-AW,Allan Winans,Atlanta Braves,RC
89BA2-AWE,Austin Wells,New York Yankees,RC
89BA2-BC,Bartolo Colon,New York Mets,
89BA2-BJ,Bo Jackson,California Angels,
89BA2-BS,Bryson Stott,Philadelphia Phillies,
89BA2-BW,Billy Williams,Chicago Cubs,
89BA2-CC,Colton Cowser,Baltimore Orioles,RC
89BA2-CES,Christian Encarnacion-Strand,Cincinnati Reds,RC
89BA2-CME,Curtis Mead,Tampa Bay Rays,RC
89BA2-CMO,Christopher Morel,Chicago Cubs,
89BA2-CR,Ceddanne Rafaela,Boston Red Sox,RC
89BA2-DJ,David Justice,Atlanta Braves,
89BA2-EC,Evan Carter,Texas Rangers,RC
89BA2-ED,Elly De La Cruz,Cincinnati Reds,RC
89BA2-EL,Evan Longoria,Arizona Diamondbacks,
89BA2-FM,Fred McGriff,Toronto Blue Jays,
89BA2-GA,Garret Anderson,California Angels,
89BA2-GH,Gunnar Henderson,Baltimore Orioles,RC
89BA2-HK,Heston Kjerstad,Baltimore Orioles,RC
89BA2-JBE,José Berríos,Toronto Blue Jays,
89BA2-JBU,Jay Buhner,Seattle Mariners,
89BA2-JCO,Junior Caminero,Tampa Bay Rays,RC
89BA2-JD,Jasson Domínguez,New York Yankees,RC
89BA2-JHE,Jonah Heim,Texas Rangers,
89BA2-JHL,Jung-Hoo Lee,San Francisco Giants,RC
89BA2-JJ,Josh Jung,Texas Rangers,
89BA2-JL,Jordan Lawlar,Arizona Diamondbacks,RC
89BA2-JO,James Outman,Los Angeles Dodgers,
89BA2-JWG,Jordan Westburg,Baltimore Orioles,RC
89BA2-LN,Lars Nootbaar,St. Louis Cardinals,
89BA2-NM,Noelvi Marte,Cincinnati Reds,RC
89BA2-NS,Nolan Schanuel,Angels,RC
89BA2-PC,Pete Crow-Armstrong,Chicago Cubs,RC
89BA2-SF,Sal Frelick,Milwaukee Brewers,RC
89BA2-SG,Sawyer Gipson-Long,Detroit Tigers,RC
89BA2-SM,Sean Murphy,Atlanta Braves,
89BA2-SST,Spencer Strider,Atlanta Braves,
89BA2-TC,Triston Casas,Boston Red Sox,
89BA2-TF,Tyler Fitzgerald,San Francisco Giants,RC
89BA2-THU,Tim Hudson,Atlanta Braves,
89BA2-TS,Tyler Soderstrom,Oakland Athletics,RC
89BA2-YY,Yoshinobu Yamamoto,Los Angeles Dodgers,RC
89BA2-ZG,Zack Gelof,Oakland Athletics,RC
89BA-AB,Alex Bregman,Houston Astros,
89BA-ACAN,Alexander Canario,Chicago Cubs,RC
89BA-AKI,Alika Williams,Pittsburgh Pirates,RC
89BA-ARI,Austin Riley,Atlanta Braves,
89BA-BBA,Brett Baty,New York Mets,
89BA-BM,Bobby Miller,Los Angeles Dodgers,
89BA-BR,Bryan Reynolds,Pittsburgh Pirates,
89BA-BS,Blake Snell,San Diego Padres,
89BA-BWI,Brian Wilson,San Francisco Giants,
89BA-BWJ,Bobby Witt Jr.,Kansas City Royals,
89BA-COP,Connor Phillips,Cincinnati Reds,RC
89BA-DPA,Daniel Palencia,Chicago Cubs,RC
89BA-DV,Daulton Varsho,Toronto Blue Jays,
89BA-EDA,Eric Davis,Cincinnati Reds,
89BA-EPE,Everson Pereira,New York Yankees,RC
89BA-FF,Freddie Freeman,Los Angeles Dodgers,
89BA-GS,George Springer,Toronto Blue Jays,
89BA-HUG,Hunter Goodman,Colorado Rockies,RC
89BA-HUR,Kyle Hurt,Los Angeles Dodgers,RC
89BA-JC,Jackson Chourio,Milwaukee Brewers,RC
89BA-JDE,Jonny Deluca,Los Angeles Dodgers,RC
89BA-JFE,Jose Ferrer,Washington Nationals,RC
89BA-JI,Jonathan India,Cincinnati Reds,
89BA-JP,Jeremy Peña,Houston Astros,
89BA-JR,Jimmy Rollins,Philadelphia Phillies,
89BA-JWA,Jordan Walker,St. Louis Cardinals,
89BA-JWI,Jordan Wicks,Chicago Cubs,RC
89BA-KL,Kenny Lofton,Chicago Cubs,
89BA-KSC,Kyle Schwarber,Philadelphia Phillies,
89BA-LBU,Lawrence Butler,Oakland Athletics,RC
89BA-LC,Luis Castillo,Seattle Mariners,
89BA-MC,Matt Chapman,Toronto Blue Jays,
89BA-MG,Mark Grace,Chicago Cubs,
89BA-MH,Matt Holliday,St. Louis Cardinals,
89BA-MMA,Manny Machado,San Diego Padres,
89BA-NIL,Nick Loftin,Kansas City Royals,RC
89BA-NSC,Nolan Schanuel,Angels,RC
89BA-PBE,Prelander Berroa,Seattle Mariners,RC
89BA-PF,Prince Fielder,Milwaukee Brewers,
89BA-PME,Parker Meadows,Detroit Tigers,RC
89BA-PO,Paul O'Neill,New York Yankees,
89BA-RG,Riley Greene,Detroit Tigers,
89BA-RM,Ronny Mauricio,New York Mets,RC
89BA-RUT,Blake Rutherford,Washington Nationals,RC
89BA-SK,Steven Kwan,Cleveland Guardians,
89BA-SM,Starling Marte,New York Mets,
89BA-TG,Tony Gonsolin,Los Angeles Dodgers,
89BA-TR,Tim Raines Montreal Expos,,
89BA-WME,Wade Meckler,San Francisco Giants,RC
89BA-XB,Xander Bogaerts,San Diego Padres,
