card_number,name,team,designations
SSA-AR,Austin Riley,Atlanta Braves,
SSA-ARU,Adley Rutschman,Baltimore Orioles,
SSA-CS,Corey Seager,Texas Rangers,
SSA-GH,Gunnar Henderson,Baltimore Orioles,
SSA-JR,Julio Rodríguez,Seattle Mariners,
SSA-JS,Juan Soto,San Diego Padres,
SSA-KT,Kyle Tucker,Houston Astros,
SSA-LA,Luis Arraez,Miami Marlins,
SSA-LR,Luis Robert Jr.,Chicago White Sox,
SSA-MO,Matt Olson,Atlanta Braves,
SSA-MS,Marcus Semien,Texas Rangers,
SSA-RA,Ronald Acuña Jr.,Atlanta Braves,
SSA-RD,Rafael Devers,Boston Red Sox,
SSA-YD,Yandy Díaz,Tampa Bay Rays,
