card_number,name,team,designations
BSA-AA,Andrew Abbott,Cincinnati Reds,RC
BSA-AK,Alex Kirilloff,Minnesota Twins,
BSA-AS,AJ Smith-Shawver,Atlanta Braves,RC
BSA-AT,Alek Thomas,Arizona Diamondbacks,
BSA-BA,Bryan Abreu,Houston Astros,
BSA-BAS,Osleivis Basabe,Tampa Bay Rays,RC
BSA-BB,Byron Buxton,Minnesota Twins,
BSA-BD,Brendan Donovan,St. Louis Cardinals,
BSA-BDO,Brenton Doyle,Colorado Rockies,
BSA-BE,Bryce Elder,Atlanta Braves,
BSA-BWO,Bryan Woo,Seattle Mariners,RC
BSA-CAM,Junior Caminero,Tampa Bay Rays,RC
BSA-CC,Colton Cowser,Baltimore Orioles,RC
BSA-CE,Christian Encarnacion-Strand,Cincinnati Reds,RC
BSA-CM,Curtis Mead,Tampa Bay Rays,RC
BSA-CON,Connor Phillips,Cincinnati Reds,RC
BSA-CS,Casey Schmitt,San Francisco Giants,
BSA-CSC,Clarke Schmidt,New York Yankees,
BSA-CT,Chris Taylor,,
BSA-DB,David Bednar,Pittsburgh Pirates,
BSA-DC,Dylan Carlson,St. Louis Cardinals,
BSA-DM,Dustin May,Los Angeles Dodgers,
BSA-DP,Daniel Palencia,Chicago Cubs,RC
BSA-DS,Darryl Strawberry,New York Mets,
BSA-DV,Daulton Varsho,Toronto Blue Jays,
BSA-ED,Elly De La Cruz,Cincinnati Reds,RC
BSA-ER,Endy Rodríguez,Pittsburgh Pirates,RC
BSA-EVE,Everson Pereira,New York Yankees,RC
BSA-GW,Gavin Williams,Cleveland Guardians,RC
BSA-HAN,Emerson Hancock,Seattle Mariners,RC
BSA-HD,Henry Davis,Pittsburgh Pirates,RC
BSA-HR,Hanley Ramirez,Florida Marlins,
BSA-JAS,Jasson Domínguez,New York Yankees,RC
BSA-JB,Jake Burger,Miami Marlins,
BSA-JCA,Jose Canseco,Oakland Athletics,
BSA-JFN,José Fermín,St. Louis Cardinals,RC
BSA-JI,Jonathan India,Cincinnati Reds,
BSA-JK,Jarred Kelenic,Seattle Mariners,
BSA-JL,Jordan Lawlar,Arizona Diamondbacks,RC
BSA-JLO,Josh Lowe,Tampa Bay Rays,
BSA-JM,Justin Morneau,Minnesota Twins,
BSA-JN,Josh Naylor,Cleveland Guardians,
BSA-JR,Jimmy Rollins,Philadelphia Phillies,
BSA-JS,Jorge Soler,Miami Marlins,
BSA-JWE,Jordan Westburg,Baltimore Orioles,RC
BSA-JWF,Jackson Wolf,Pittsburgh Pirates,RC
BSA-JWI,Joey Wiemer,Milwaukee Brewers,
BSA-KH,Ke'Bryan Hayes,Pittsburgh Pirates,
BSA-KHA,Kyle Harrison,San Francisco Giants,RC
BSA-LM,Luis Matos,San Francisco Giants,RC
BSA-LN,Lars Nootbaar,St. Louis Cardinals,
BSA-LOF,Nick Loftin,Kansas City Royals,RC
BSA-MCO,Michael Conforto,San Francisco Giants,
BSA-MEA,Parker Meadows,Detroit Tigers,RC
BSA-MG,MacKenzie Gore,Washington Nationals,
BSA-MH,Matt Holliday,St. Louis Cardinals,
BSA-MMC,Matt McLain,Cincinnati Reds,
BSA-MMI,Miles Mikolas,St. Louis Cardinals,
BSA-MMO,Mickey Moniak,Angels,
BSA-MT,Mark Teixeira,New York Yankees,
BSA-NG,Nick Gonzales,Pittsburgh Pirates,RC
BSA-NH,Nico Hoerner,Chicago Cubs,
BSA-NOE,Noelvi Marte,Cincinnati Reds,RC
BSA-OW,Owen White,Texas Rangers,RC
BSA-PB,Prelander Berroa,Seattle Mariners,RC
BSA-PF,Prince Fielder,Milwaukee Brewers,
BSA-PO,Paul O'Neill,New York Yankees,
BSA-QP,Quinn Priester,Pittsburgh Pirates,RC
BSA-RA,Rick Ankiel,St. Louis Cardinals,
BSA-RAF,Ceddanne Rafaela,Boston Red Sox,RC
BSA-RD,Reid Detmers,Angels,
BSA-RH,Ryan Howard,Philadelphia Phillies,
BSA-SB,Shane Baz,Tampa Bay Rays,
BSA-SCH,Davis Schneider,Toronto Blue Jays,RC
BSA-SF,Sal Frelick,Milwaukee Brewers,RC
BSA-SM,Shane McClanahan,Tampa Bay Rays,
BSA-SMA,Starling Marte,New York Mets,
BSA-TG,Tony Gonsolin,Los Angeles Dodgers,
BSA-TMC,Triston McKenzie,Cleveland Guardians,
BSA-TS,Tyler Soderstrom,Oakland Athletics,RC
BSA-VG,Vladimir Guerrero Jr.,Toronto Blue Jays,
BSA-VIN,Darius Vines,Atlanta Braves,RC
BSA-WAB,Wilyer Abreu,Boston Red Sox,RC
BSA-WEL,Austin Wells,New York Yankees,RC
BSA-WIC,Jordan Wicks,Chicago Cubs,RC
BSA-WME,Wade Meckler,San Francisco Giants,RC
BSA-ZG,Zack Gelof,Oakland Athletics,RC
BSA-ZN,Zach Neto,Angels,
BSA2-AB,Alec Burleson,St. Louis Cardinals,
BSA2-AC,Alexander Canario,Chicago Cubs,RC
BSA2-AWS,Alika Williams,Pittsburgh Pirates,RC
BSA2-BJ,Ben Joyce,Angels,
BSA2-BM,Bryce Miller,Seattle Mariners,
BSA2-BT,Brice Turang,Milwaukee Brewers,
BSA2-BW,Bryan Woo,Seattle Mariners,RC
