card_number,name,team,designations
BSTA-ACP,Jazz Chisholm Jr. / Luis Arraez / Eury Pérez,Miami Marlins / Miami Marlins / Miami Marlins,
BSTA-AOR,Ronald Acuña Jr. / Matt Olson / Austin Riley,Atlanta Braves / Atlanta Braves / Atlanta Braves,
BSTA-BBP,Jeff Bagwell / Andy Pettitte / Craig Biggio,Houston Astros / Houston Astros / Houston Astros,
BSTA-BCF,Wade Boggs / Roger Clemens / Carlton Fisk,Boston Red Sox / Boston Red Sox / Boston Red Sox,
BSTA-BJW,George Brett / Bobby Witt Jr. / Bo Jackson,Kansas City Royals / Kansas City Royals / Kansas City Royals,
BSTA-BMR,Anthony Rizzo / Wade Boggs / Don Mattingly,New York Yankees / New York Yankees / New York Yankees,
BSTA-CLM,Gabriel Moreno / Corbin Carroll / Jordan Lawlar,Arizona Diamondbacks / Arizona Diamondbacks / Arizona Diamondbacks,RC
BSTA-DLV,Eric Davis / Barry Larkin / Joey Votto,Cincinnati Reds / Cincinnati Reds / Cincinnati Reds,
BSTA-ESZ,Dennis Eckersley / Dave Stewart / Barry Zito,Oakland Athletics / Oakland Athletics / Oakland Athletics,
BSTA-GHA,Garret Anderson / Torii Hunter / Vladimir Guerrero,Angels / Angels / Angels,
BSTA-GIR,Ken Griffey Jr. / Ichiro / Julio Rodríguez,Seattle Mariners / Seattle Mariners / Seattle Mariners,
BSTA-GMD,Vladimir Guerrero / Pedro Martinez / Andre Dawson,Montréal Expos / Montréal Expos / Montréal Expos,
BSTA-GTR,Mike Trout / Vladimir Guerrero / Nolan Ryan,Angels / Angels / California Angels,
BSTA-HRU,Ryan Howard / Jimmy Rollins / Chase Utley,Philadelphia Phillies / Philadelphia Phillies / Philadelphia Phillies,
BSTA-MAV,Jason Varitek / Pedro Martinez / David Ortiz,Boston Red Sox / Boston Red Sox / Boston Red Sox,
BSTA-MGS,Tom Glavine / John Smoltz / Greg Maddux,Atlanta Braves / Atlanta Braves / Atlanta Braves,
BSTA-MJA,Chipper Jones / Ronald Acuña Jr. / Dale Murphy,Atlanta Braves / Atlanta Braves / Atlanta Braves,
BSTA-MMH,Torii Hunter / Justin Morneau / Joe Mauer,Minnesota Twins / Minnesota Twins / Minnesota Twins,
BSTA-PSC,CC Sabathia / Gerrit Cole / Andy Pettitte,New York Yankees / New York Yankees / New York Yankees,
BSTA-RRP,Cal Ripken Jr. / Brooks Robinson / Jim Palmer,Baltimore Orioles / Baltimore Orioles / Baltimore Orioles,
BSTA-SHC,Pete Crow-Armstrong / Nico Hoerner / Dansby Swanson,Chicago Cubs / Chicago Cubs / Chicago Cubs,RC
BSTA-SJC,Corey Seager / Evan Carter / Josh Jung,Texas Rangers / Texas Rangers / Texas Rangers,RC
BSTA-SMD,Ryne Sandberg / Greg Maddux / Andre Dawson,Chicago Cubs / Chicago Cubs / Chicago Cubs,
BSTA-SRM,Yadier Molina / Scott Rolen / Ozzie Smith,St. Louis Cardinals / St. Louis Cardinals / St. Louis Cardinals,
BSTA-STS,Kyle Schwarber / Bryson Stott / Trea Turner,Philadelphia Phillies / Philadelphia Phillies / Philadelphia Phillies,
BSTA-SWA,Pete Alonso / David Wright / Darryl Strawberry,New York Mets / New York Mets / New York Mets,
BSTA-TDV,Gleyber Torres / Jasson Domínguez / Anthony Volpe,New York Yankees / New York Yankees / New York Yankees,RC
BSTA-VCM,Matt McLain / Elly De La Cruz / Joey Votto,Cincinnati Reds / Cincinnati Reds / Cincinnati Reds,RC
BSTA-WCC,Brandon Crawford / Matt Williams / Will Clark,San Francisco Giants / San Francisco Giants / San Francisco Giants,
BSTA-WOP,Paul O'Neill / Jorge Posada / Bernie Williams,New York Yankees / New York Yankees / New York Yankees,
