card_number,name,team,designations
KIDA-KG1,Ken Griffey Jr.,Seattle Mariners,
KIDA-KG2,Ken Griffey Jr.,Seattle Mariners,
KIDA-KG3,Ken Griffey Jr.,Seattle Mariners,
KIDA-KG4,Ken Griffey Jr.,Seattle Mariners,
KIDA-KG5,Ken Griffey Jr.,Seattle Mariners,
KIDA-KG6,Ken Griffey Jr.,Seattle Mariners,
KIDA-KG7,Ken Griffey Jr.,Seattle Mariners,
KIDA-KG8,Ken Griffey Jr.,Seattle Mariners,
KIDA-KG9,Ken Griffey Jr.,Seattle Mariners,
KIDA-KG10,Ken Griffey Jr.,Seattle Mariners,
KIDA-KG11,Ken Griffey Jr.,Seattle Mariners,
KIDA-KG12,Ken Griffey Jr.,Seattle Mariners,
KIDA-KG13,Ken Griffey Jr.,Seattle Mariners,
KIDA-KG14,Ken Griffey Jr.,Seattle Mariners,
KIDA-KG15,Ken Griffey Jr.,Seattle Mariners,
KIDA-KG16,Ken Griffey Jr.,Cincinnati Reds,
KIDA-KG17,Ken Griffey Jr.,Cincinnati Reds,
KIDA-KG18,Ken Griffey Jr.,Cincinnati Reds,
KIDA-KG19,Ken Griffey Jr.,Cincinnati Reds,
KIDA-KG20,Ken Griffey Jr.,Cincinnati Reds,
KIDA-KG21,Ken Griffey Jr.,Cincinnati Reds,
KIDA-KG22,Ken Griffey Jr.,Chicago White Sox,
KIDA-KG23,Ken Griffey Jr.,Seattle Mariners,
KIDA-KG24,Ken Griffey Jr.,Seattle Mariners,
