card_number,name,team,designations
C2C-AR,Adley Rutschman,Baltimore Orioles,
C2C-BB,Byron Buxton,Minnesota Twins,
C2C-BW,Bobby Witt Jr.,Kansas City Royals,
C2C-CC,Corbin Carroll,Arizona Diamondbacks,
C2C-CY,Christian Yelich,Milwaukee Brewers,
C2C-EC,Evan Carter,Texas Rangers,RC
C2C-ED,Elly De La Cruz,Cincinnati Reds,RC
C2C-FT,Fernando Tatis Jr.,San Diego Padres,
C2C-HD,Henry Davis,Pittsburgh Pirates,RC
C2C-JC,Jazz Chisholm Jr.,Miami Marlins,
C2C-JD,Jasson Domínguez,New York Yankees,RC
C2C-JR,Julio Rodríguez,Seattle Mariners,
C2C-JS,Juan Soto,New York Yankees,
C2C-LR,Luis Robert Jr.,Chicago White Sox,
C2C-MO,Matt Olson,Atlanta Braves,
C2C-MT,Mike Trout,Angels,
C2C-PA,Pete Alonso,New York Mets,
C2C-PC,Pete Crow-Armstrong,Chicago Cubs,RC
C2C-PG,Paul Goldschmidt,St. Louis Cardinals,
C2C-RA,Randy Arozarena,Tampa Bay Rays,
C2C-RAJ,Ronald Acuña Jr.,Atlanta Braves,
C2C-RD,Rafael Devers,Boston Red Sox,
C2C-RM,Ronny Mauricio,New York Mets,RC
C2C-SO,Shohei Ohtani,Los Angeles Dodgers,
C2C-VG,Vladimir Guerrero Jr.,Toronto Blue Jays,
