card_number,name,team,designations
GOGA-BP,Buster Posey,San Francisco Giants,
GOGA-CR,Cal Ripken Jr.,Baltimore Orioles,
GOGA-CY,Carl Yastrzemski,Boston Red Sox,
GOGA-DJ,Derek Jeter,New York Yankees,
GOGA-FT,Frank Thomas,Chicago White Sox,
GOGA-GB,George Brett,Kansas City Royals,
GOGA-GM,Greg Maddux,Atlanta Braves,
GOGA-I,Ichiro,Seattle Mariners,
GOGA-JB,Johnny Bench,Cincinnati Reds,
GOGA-MS,Mike Schmidt,Philadelphia Phillies,
GOGA-MT,Mike Trout,Angels,
GOGA-NR,Nolan Ryan,Houston Astros,
GOGA-OS,Ozzie Smith,St. Louis Cardinals,
GOGA-RS,Ryne Sandberg,Chicago Cubs,
