card_number,name,team,designations
SSA-BD,Brenton Doyle,Colorado Rockies,
SSA-BDO,Brenton Doyle,Colorado Rockies,
SSA-BW,Bobby Witt Jr.,Kansas City Royals,
SSA-DS,Dansby Swanson,Chicago Cubs,
SSA-ED,Elly De La Cruz,Cincinnati Reds,RC
SSA-EDLC,Elly De La Cruz,Cincinnati Reds,RC
SSA-GH,Gunnar Henderson,Baltimore Orioles,
SSA-GM,Gabriel Moreno,Arizona Diamondbacks,
SSA-KS,Kyle Schwarber,Philadelphia Phillies,
SSA-NJ,Nolan Jones,Colorado Rockies,
SSA-PB,Patrick Bailey,San Francisco Giants,
SSA-PL,Pablo López,Minnesota Twins,
SSA-RA,Ronald Acuña Jr.,Atlanta Braves,
SSA-RAC,Ronald Acuña Jr.,Atlanta Braves,
SSA-RAJ,Ronald Acuña Jr.,Atlanta Braves,
SSA-RAR,Randy Arozarena,Tampa Bay Rays,
SSA-SS,Spencer Strider,Atlanta Braves,
